	cluster
Erythroblast-3__Pt-16_Dx	U1
MEP-1__AML-01	U1
Erythroblast-2__Pt-16_Dx	U1
Erythroblast-1__Pt-16_Dx	U1
LMPP-2__10DD-1070__Treatment	U1
MPP-MEP__1102_E_N1c	U1
MEP-2__287_AfInv_P53F_N1c	U1
MPP-MEP__AML3133	U1
MEP-2__AML5292	U1
MPP-MEP__AML5292	U1
MPP-MEP__AML-14	U1
MEP-Eryth-2__AML-14	U1
MEP-2__AML-14	U1
NK-Mature__PT08__Relapse	U1
immNeu-2__2270_Aft36_P71F	U1
MEP-1__AML-14	U1
MultiLin-GMP-2__AML5292	U1
MultiLin-GMP-3__AML5292	U1
Multilin-1__AML5292	U1
Plasma Cell__2270_Aft36_P71F	U1
MPP-MEP__2270_Aft36_P71F	U1
Myeloid intermediate 1__AML5292	U1
LMPP-1-cycling__AML-14	U1
MPP-MEP__PT08__Relapse	U1
MEP-2__PT08__Relapse	U1
MEP-1__PT08__Relapse	U1
MDP-6__PT08__Relapse	U1
MPP-1__2270_Aft36_P71F	U1
Intermediate Mono-2__AML-14	U1
Intermediate Mono-1__AML-14	U1
Classical-Mono__AML-14	U1
MEP-1__AML-10	U1
preNeu__AML5292	U1
MEP-2__AML-10	U1
MEP-1__AML5	U1
MEP-2__AML5	U1
MEP-2__2270_Aft36_P71F	U1
MEP-1__AML5292	U1
MEP-1__2270_Aft36_P71F	U1
MEP-Eryth-1__1827_Af_N1c	U1
MEP-1__1827_Af_N1c	U1
T CD8 Naive__AML-09	U1
cDC2-1__AML-09	U1
Non-Classical Mono-2__HTO6-SRR16208955	U1
Plasma Cell__1744_E_N1c	U1
B Memory-1__AML-10	U1
MEP-2__AML4	U1
MEP-Eryth-2__2660_Ast82_38M	U1
BMCP-1__1782_Aft36_P71F	U1
MEP-2__2660_Ast82_38M	U1
MEP-1__2660_Ast82_38M	U1
MEP-2__PT09_PT13__D30	U1
MEP-1__1782_Aft36_P71F	U1
MEP-2__1782_Aft36_P71F	U1
Erythroblast-3__AML-10	U1
MPP-MEP__1782_Aft36_P71F	U1
Erythroblast-3__PAXMIJ-EoT	U1
MEP-1__AML-16-Dx	U1
LMPP-1-cycling__AML-10	U1
