	cluster
ERP-8__AML0048	U10
ERP-8__MDS585	U10
MPP-MEP__AML-17-CR2	U10
T CD4 Naive-1__916462__Diagnosis	U10
Plasma Cell__4440_AfInv16_P24M	U10
Erythroblast-3__869586__Diagnosis	U10
MEP-1__10DD-1086__Treatment	U10
T CD4 Activated__0316_E_N1c	U10
ERP-8__hashtag5-SRR16208967	U10
ERP-4__10DD-1086__Treatment	U10
MEP-Eryth-2__4924_AfInv16_P49M	U10
ERP-8__10DD-1086__Diagnosis	U10
T CD8 Naive__916462__Diagnosis	U10
BMCP-1__568_AfInv16_P24M	U10
T CD4 Activated__562_AfInv16_25F	U10
T CD4 Naive-1__550_EInv16_38M	U10
B Memory-1__5381v2_AfInv16_P49M	U10
BMCP-1__5381v2_AfInv16_P49M	U10
T CD4 Activated__5381v2_AfInv16_P49M	U10
NK-Mature__5381v2_AfInv16_P49M	U10
MEP-1__5381v2_AfInv16_P49M	U10
Multilin-1__5381v2_AfInv16_P49M	U10
MultiLin-GMP-1__5381v2_AfInv16_P49M	U10
T CD8 Naive__562_AfInv16_25F	U10
Non-Classical Mono-2__10DD-1086__Treatment	U10
T CD4 Naive-1__AML-04	U10
CD4 TCM__AML-07	U10
Intermediate Mono-1__AML-17-CR2	U10
T CD8 Naive__AML-17-CR1	U10
T CD4 Naive-1__AML-17-CR1	U10
Non-Classical Mono-2__AML-17-CR1	U10
ERP-8__hashtag4-SRR16208966	U10
LMPP-2__AML-17-CR1	U10
LMPP-1__AML-17-CR1	U10
Intermediate Mono-1__AML-17-CR1	U10
Erythroblast-3__AML-17-CR1	U10
T CD8 Naive__AML-16	U10
T CD4 Naive-1__AML-16	U10
ERP-8__MDS1123	U10
ERP-7__hashtag4-SRR16208967	U10
ERP-8__AML-16-Dx	U10
ERP-7__hashtag5-SRR16208965	U10
ERP-8__hashtag5-SRR16208965	U10
ERP-8__4440_AfInv16_P24M	U10
preNeu__AML-12_CCHMC	U10
T CD8 Naive__10DD-1086__Treatment	U10
CD4 TCM__AML-08	U10
T CD4 Naive-1__AML-07	U10
T CD4 Activated__AML-17-CR2	U10
CD4 TCM__P04__Diagnosis	U10
preNeu__AML-21-CR	U10
ERP-2__332131__Diagnosis	U10
MDP-1__P09__Diagnosis	U10
LMPP-2__P09__Diagnosis	U10
Erythroblast-3__P09__Diagnosis	U10
Erythroblast-2__P09__Diagnosis	U10
Erythroblast-1__P09__Diagnosis	U10
ERP-8__P09__Diagnosis	U10
CD8 TEM__P09__Diagnosis	U10
CD4 TCM__P09__Diagnosis	U10
NK-Mature__P08__Relapse	U10
MAIT__P08__Relapse	U10
MDP-2__P09__Diagnosis	U10
Erythroblast-2__P08__Relapse	U10
ERP-8__P08__Relapse	U10
ERP-7__P08__Relapse	U10
ERP-4__332131__Diagnosis	U10
CD4 TCM__P08__Relapse	U10
T CD4 Naive-2__P08__Diagnosis	U10
Erythroblast-3__P08__Diagnosis	U10
T CD4 Naive-1__1076_AfInv16_51M	U10
T CD4 Activated__1076_AfInv16_51M	U10
ERP-8__P08__Diagnosis	U10
T CD4 Naive-2__P07__Relapse	U10
Erythroblast-1__P08__Relapse	U10
NK-Mature__1076_AfInv16_51M	U10
MEP-2__P09__Diagnosis	U10
MPP-MEP__P09__Diagnosis	U10
MKP-late__P10__Diagnosis	U10
MDP-1__10DD-1062__Treatment	U10
MEP-2__P10__Diagnosis	U10
LMPP-1__P10__Diagnosis	U10
preNeu__P09__Relapse	U10
immNeu-1__P09__Relapse	U10
Myeloid intermediate 3__P09__Relapse	U10
Myeloid intermediate 1__P09__Relapse	U10
Multilin-1__P09__Relapse	U10
MEP-1__P09__Relapse	U10
MEP-Eryth-2__P09__Diagnosis	U10
CD8 TEM__P09__Relapse	U10
preNeu__P09__Diagnosis	U10
immNeu-1__P09__Diagnosis	U10
cDC1__P09__Diagnosis	U10
Myeloid intermediate 1__AML5	U10
T CD4 Naive-2__P09__Diagnosis	U10
T CD4 Naive-1__P09__Diagnosis	U10
Myeloid intermediate 3__P09__Diagnosis	U10
Myeloid intermediate 2__P09__Diagnosis	U10
Myeloid intermediate 1__P09__Diagnosis	U10
Multilin-1__P09__Diagnosis	U10
CD4 TCM__P09__Relapse	U10
cMOP__287_AfInv_P53F_N1c	U10
ERP-5__P08__Relapse	U10
immNeu-1__P04__Relapse	U10
ERP-5__P05__Diagnosis	U10
preNeu__P04__Relapse	U10
ERP-8__1076_AfInv16_51M	U10
CD8 TEM__1076_AfInv16_51M	U10
Myeloid intermediate 3__P04__Relapse	U10
BMCP-1__1076_AfInv16_51M	U10
Myeloid intermediate 1__P04__Relapse	U10
MultiLin-GMP-3__P04__Relapse	U10
MultiLin-GMP-2__P04__Relapse	U10
MEP-2__P04__Relapse	U10
preNeu__P04__Diagnosis	U10
cMOP__P04__Diagnosis	U10
ERP-8__P05__Diagnosis	U10
cDC1__P04__Diagnosis	U10
T CD4 Naive-2__P04__Diagnosis	U10
Myeloid intermediate 3__P04__Diagnosis	U10
Myeloid intermediate 2__P04__Diagnosis	U10
Myeloid intermediate 1__P04__Diagnosis	U10
MultiLin-GMP-2__P04__Diagnosis	U10
MultiLin-GMP-1__P04__Diagnosis	U10
Mono-1__P04__Diagnosis	U10
MDP-2__P04__Diagnosis	U10
MDP-1__P04__Diagnosis	U10
ERP-8__P04__Diagnosis	U10
MultiLin-GMP-3__AML0048	U10
CD8 TEM__P04__Diagnosis	U10
T CD8 Naive__P04__Diagnosis	U10
CD4 TCM__P06__Relapse	U10
Myeloid intermediate 1__P19__Relapse	U10
ERP-7__10DD-1070__Treatment	U10
ERP-5__P07__Diagnosis	U10
CD8 TEM__P06__Relapse	U10
CD4 TCM__P07__Diagnosis	U10
T CD8 Naive__P06__Relapse	U10
ERP-8__P07__Diagnosis	U10
MEP-Eryth-2__1076_AfInv16_51M	U10
T CD4 Naive-2__P06__Relapse	U10
Erythroblast-1__P07__Diagnosis	U10
ERP-8__P07__Relapse	U10
ERP-7__P07__Diagnosis	U10
T CD4 Naive-1__P06__Relapse	U10
Erythroblast-1__P07__Relapse	U10
pre-DC-1__287_AfInv_P53F_N1c	U10
MAIT__1076_AfInv16_51M	U10
MAIT__P06__Relapse	U10
B Memory-1__ETP9153	U11
T CD8 Naive__1102_E_N1c	U11
B Memory-2__HTO3-SRR16208954	U11
CD4 TCM__HTO3-SRR16208954	U11
T CD4 Activated__ETP9153	U11
Non-Classical Mono-2__ETP9153	U11
B Memory-1__HTO3-SRR16208954	U11
Intermediate Mono-3__ETP9153	U11
Classical-Mono__ETP9153	U11
T CD4 Naive-2__1102_E_N1c	U11
pre-DC-3__HTO2-SRR16208956	U11
cDC2-1__HTO2-SRR16208956	U11
pDC__HTO2-SRR16208956	U11
Intermediate Mono-3__HTO2-SRR16208956	U11
ERP-6__HTO2-SRR16208956	U11
ERP-1__HTO2-SRR16208956	U11
MAIT__HTO2-SRR16208956	U11
Mono-1__HTO2-SRR16208956	U11
CD8 TEM__HTO2-SRR16208956	U11
CD4 TCM__HTO2-SRR16208956	U11
pre-DC-1__HTO2-SRR16208956	U11
T CD4 Activated__1102_E_N1c	U11
Classical-Mono__HTO2-SRR16208954	U11
Mono-2__HTO2-SRR16208956	U11
MultiLin-GMP-1__HTO2-SRR16208956	U11
NK-Mature__HTO2-SRR16208956	U11
T CD4 Activated__HTO2-SRR16208956	U11
T CD4 Naive-1__HTO2-SRR16208956	U11
cMOP__HTO2-SRR16208956	U11
ASDC__HTO2-SRR16208956	U11
T CD4 Naive-1__1102_E_N1c	U11
CD8 TEM__AML4340	U11
cDC2-2__AML4897	U11
CD4 TCM__AML0114	U11
B Memory-1__AML0114	U11
B Memory-1__3114_EInv_45F	U11
CD4 TCM__3114_EInv_45F	U11
CD8 TEM__3114_EInv_45F	U11
MAIT__3114_EInv_45F	U11
NK-Mature__3114_EInv_45F	U11
CD8 TEM__AML006	U11
Plasma Cell__3114_EInv_45F	U11
T CD4 Activated__3114_EInv_45F	U11
T CD4 Naive-1__3114_EInv_45F	U11
T CD8 Naive__3114_EInv_45F	U11
pre-DC-1__AML0048	U11
pDC__3114_EInv_45F	U11
T CD4 Naive-1__AML0048	U11
T CD4 Activated__AML0048	U11
NK-Mature__AML0048	U11
MEP-2__AML0048	U11
MAIT__AML0048	U11
CD8 TEM__AML0048	U11
CD4 TCM__AML0048	U11
B Memory-1__3410_AfST8_P64M	U11
CD4 TCM__3410_AfST8_P64M	U11
CD8 TEM__3410_AfST8_P64M	U11
NK-Mature__AML0024	U11
MAIT__AML0024	U11
MAIT__3410_AfST8_P64M	U11
CD8 TEM__AML0114	U11
CD8 TEM__AML0024	U11
Classical-Mono__AML0114	U11
ERP-5__AML0114	U11
T CD4 Activated__2853_Aft36_P71F	U11
T CD4 Naive-1__2853_Aft36_P71F	U11
T CD8 Naive__2853_Aft36_P71F	U11
pre-DC-2__2853_Aft36_P71F	U11
pre-DC-3__2853_Aft36_P71F	U11
MAIT__AML026	U11
B Memory-2__AML026	U11
B Memory-1__AML026	U11
MAIT__AML0160	U11
CD8 TEM__AML0160	U11
B Memory-1__AML0160	U11
B Memory-1__AML012	U11
pDC__AML0114	U11
T CD8 Naive__AML0114	U11
T CD4 Naive-1__AML0114	U11
T CD4 Activated__AML0114	U11
Plasma Cell__AML0114	U11
Non-Classical Mono-2__AML0114	U11
NK-Mature__AML0114	U11
MultiLin-GMP-2__AML0114	U11
MultiLin-GMP-1__AML0114	U11
MAIT__AML0114	U11
LMPP-2__AML0114	U11
Intermediate Mono-3__AML0114	U11
Erythroblast-1__AML0114	U11
ERP-8__AML0114	U11
T CD4 Naive-1__301_AfInv16_29M	U11
ERP-4__AML0114	U11
T CD4 Activated__AML026	U11
CD4 TCM__AML0024	U11
cDC2-1__AML-21-CR	U11
NK-Mature__AML-16-Dx	U11
MAIT__AML-16-Dx	U11
CD8 TEM__AML-16-Dx	U11
CD4 TCM__AML-16-Dx	U11
BMCP-1__AML-16-Dx	U11
B Memory-2__AML-16-Dx	U11
B Memory-1__AML-16-Dx	U11
T CD4 Activated__AML-11	U11
NK-Mature__AML-11	U11
CD8 TEM__AML-11	U11
Erythroblast-1__922185__Diagnosis	U11
Plasma Cell__869586__Diagnosis	U11
T CD4 Naive-1__4440_AfInv16_P24M	U11
Erythroblast-2__827494__Diagnosis	U11
pre-B__4440_AfInv16_P24M	U11
T CD8 Naive__727_EInv16_35M	U11
T CD4 Naive-1__727_EInv16_35M	U11
NK-Mature__727_EInv16_35M	U11
MAIT__727_EInv16_35M	U11
CD8 TEM__727_EInv16_35M	U11
CD4 TCM__727_EInv16_35M	U11
CD4 TCM__4924_AfInv16_P49M	U11
MAIT__4924_AfInv16_P49M	U11
NK-Mature__4924_AfInv16_P49M	U11
T CD4 Activated__4924_AfInv16_P49M	U11
T CD4 Naive-1__4924_AfInv16_P49M	U11
T CD4 Naive-1__5381v2_AfInv16_P49M	U11
Non-Classical Mono-1__AML-16-Dx	U11
pre-B__AML-21-CR	U11
T CD4 Naive-1__AML-17-CR2	U11
CD4 TCM__AML-17-D1	U11
Transitional-B-1__AML-21-CR	U11
T CD8 Naive__AML-21-CR	U11
NK-Mature__3410_AfST8_P64M	U11
Non-Classical Mono-2__3410_AfST8_P64M	U11
T CD4 Naive-1__AML-21-CR	U11
T CD4 Naive-1__3410_AfST8_P64M	U11
T CD4 Naive-2__3410_AfST8_P64M	U11
T CD8 Naive__3410_AfST8_P64M	U11
T CD4 Activated__AML-21-CR	U11
pDC__3410_AfST8_P64M	U11
Pro-B-1__AML-21-CR	U11
NK-Mature__AML-21-CR	U11
MAIT__AML-21-CR	U11
CD8 TEM__AML-21-CR	U11
CD4 TCM__AML-21-CR	U11
B Memory-1__AML-21-CR	U11
T CD4 Naive-1__AML-17-D2	U11
NK-Mature__AML-17-D2	U11
MAIT__AML-17-D2	U11
CD8 TEM__AML-17-D2	U11
CD4 TCM__AML-17-D2	U11
B Memory-1__AML-17-D2	U11
T CD4 Naive-1__AML-17-D1	U11
T CD4 Activated__AML-17-D1	U11
NK-Mature__AML-17-D1	U11
MAIT__AML-17-D1	U11
CD8 TEM__AML-17-D1	U11
B Memory-1__AML-17-D1	U11
Plasma Cell__AML4	U11
NK-Mature__2853_Aft36_P71F	U11
MEP-2__2853_Aft36_P71F	U11
CD4 TCM__AML3730	U11
B Memory-1__AML3730	U11
T CD4 Naive-1__AML3133	U11
T CD4 Activated__AML3133	U11
Plasma Cell__AML3133	U11
B Memory-2__1702-Et922-66F	U11
CD8 TEM__1702-Et922-66F	U11
MultiLin-GMP-1__AML3133	U11
MAIT__AML3133	U11
CD8 TEM__AML3133	U11
CD4 TCM__AML3133	U11
B Memory-1__AML3133	U11
pre-DC-3__AML3050	U11
MAIT__AML3050	U11
pre-DC-3__1702-Et922-66F	U11
MAIT__AML22-Decitabine	U11
T CD8 Naive__AML2123	U11
T CD4 Naive-1__AML2123	U11
T CD4 Activated__AML2123	U11
NK-Mature__AML2123	U11
MAIT__AML2123	U11
CD8 TEM__AML2123	U11
CD4 TCM__AML2123	U11
B Memory-1__AML2123	U11
MKP-late__AML1	U11
T CD4 Naive-1__AML1896	U11
T CD4 Activated__AML1896	U11
CD8 TEM__AML3730	U11
NK-Mature__AML1896	U11
MSC Fibroblast-1__AML3730	U11
T CD4 Activated__AML3730	U11
T CD4 Naive-1__AML4897	U11
T CD4 Activated__AML4897	U11
