	cluster
cDC2-1__508084__Relapse	U12
Intermediate Mono-3__10DD-1085__Diagnosis	U12
Intermediate Mono-2__10DD-1085__Diagnosis	U12
Mono-2__508084__Relapse	U12
Classical-Mono__508084__Relapse	U12
Intermediate Mono-2__220882__Diagnosis	U12
Intermediate Mono-1__220882__Diagnosis	U12
Classical-Mono__220882__Diagnosis	U12
Non-Classical Mono-2__10DD-1070__Treatment	U12
cDC2-1__10DD-1070__Treatment	U12
cDC2-2__10DD-1070__Treatment	U12
Intermediate Mono-1__508084__Relapse	U12
Non-Classical Mono-2__869586__Relapse	U12
Intermediate Mono-2__508084__Relapse	U12
Intermediate Mono-3__508084__Relapse	U12
Intermediate Mono-1__10DD-1079__Relapse	U12
Intermediate Mono-2__10DD-1079__Relapse	U12
Intermediate Mono-3__10DD-1079__Relapse	U12
Non-Classical Mono-2__10DD-1079__Relapse	U12
cDC2-2__184874__Diagnosis	U12
Intermediate Mono-1__10DD-1061__Relapse	U12
Non-Classical Mono-2__184874__Diagnosis	U12
Mono-2__184874__Diagnosis	U12
Intermediate Mono-3__184874__Diagnosis	U12
Intermediate Mono-2__184874__Diagnosis	U12
cDC2-2__220882__Diagnosis	U12
pre-DC-1__10DD-1061__Diagnosis	U12
cDC2-1__922185__Diagnosis	U12
Intermediate Mono-2__10DD-1002__Treatment	U12
cDC2-2__10DD-1061__Diagnosis	U12
Intermediate Mono-3__10DD-1002__Treatment	U12
Mono-2__10DD-1014__Diagnosis	U12
Intermediate Mono-3__10DD-1014__Diagnosis	U12
Intermediate Mono-2__10DD-1014__Diagnosis	U12
Intermediate Mono-1__10DD-1014__Diagnosis	U12
Classical-Mono__10DD-1014__Treatment	U12
Classical-Mono__10DD-1014__Diagnosis	U12
Intermediate Mono-3__10DD-1009__Diagnosis	U12
Classical-Mono__827494__Diagnosis	U12
cDC2-2__10DD-1010__Relapse	U12
Non-Classical Mono-2__10DD-1010__Relapse	U12
cDC2-2__827494__Diagnosis	U12
Myeloid intermediate 2__10DD-1002__Treatment	U12
Mono-2__10DD-1002__Treatment	U12
Intermediate Mono-1__10DD-1014__Treatment	U12
Intermediate Mono-2__10DD-1014__Treatment	U12
Intermediate Mono-3__10DD-1014__Treatment	U12
Classical-Mono__10DD-1009__Diagnosis	U12
cDC2-1__10DD-1051__Diagnosis	U12
cDC1__10DD-1051__Diagnosis	U12
Intermediate Mono-2__10DD-1009__Diagnosis	U12
Non-Classical Mono-2__10DD-1051__Diagnosis	U12
cDC2-1__10DD-1002__Diagnosis	U12
cDC2-1__10DD-1009__Diagnosis	U12
cDC2-2__10DD-1002__Diagnosis	U12
pre-DC-2__10DD-1002__Diagnosis	U12
Intermediate Mono-3__10DD-1051__Diagnosis	U12
Intermediate Mono-2__10DD-1051__Diagnosis	U12
Intermediate Mono-1__10DD-1051__Diagnosis	U12
Classical-Mono__10DD-1002__Treatment	U12
cDC2-1__10DD-1014__Treatment	U12
Intermediate Mono-1__10DD-1002__Treatment	U12
Mono-2__10DD-1010__Relapse	U12
cDC1__10DD-1002__Diagnosis	U12
Mac__10DD-1010__Relapse	U12
