	cluster
NK-Mature__P16__Diagnosis	U1
Plasma Cell__P16__Diagnosis	U1
T CD4 Naive-1__P16__Diagnosis	U1
T CD8 Naive__P16__Diagnosis	U1
cDC1__P16__Diagnosis	U1
immNeu-1__P16__Diagnosis	U1
pre-DC-2__P16__Diagnosis	U1
preNeu__P16__Diagnosis	U1
B Memory-2__P16__Relapse	U1
CD4 TCM__P16__Relapse	U1
CD8 TEM__P16__Relapse	U1
MDP-1__AML-17-R2	U1
ASDC__PT02__D30	U1
BMCP-1__PT02__D30	U1
LMPP-2__P16__Relapse	U1
CD8 TEM__P16__Diagnosis	U1
MAIT__P16__Relapse	U1
CD4 TCM__P16__Diagnosis	U1
pre-DC-3__P15__Relapse	U1
pre-DC-3__P15__Diagnosis	U1
preNeu__P15__Diagnosis	U1
Myeloid intermediate 2__PT01__Diagnosis	U1
CD8 TEM__P15__Relapse	U1
LMPP-1__P15__Relapse	U1
LMPP-1-cycling__P15__Relapse	U1
MDP-2__P15__Relapse	U1
MEP-1__P15__Relapse	U1
Mono-1__P15__Relapse	U1
Mono-2__P15__Relapse	U1
MultiLin-GMP-2__P15__Relapse	U1
MultiLin-GMP-3__P15__Relapse	U1
Multilin-1__P15__Relapse	U1
Multilin-2__P15__Relapse	U1
Myeloid intermediate 2__P15__Relapse	U1
Myeloid intermediate 3__P15__Relapse	U1
NK-Mature__P15__Relapse	U1
Plasma Cell__P15__Relapse	U1
cDC1__P15__Relapse	U1
cDC2-1__P15__Relapse	U1
cDC2-2__P15__Relapse	U1
cMOP__P15__Relapse	U1
pDC__P15__Relapse	U1
pre-DC-1__P15__Relapse	U1
pre-DC-2__P15__Relapse	U1
preNeu__P15__Relapse	U1
CD8 TEM__AML-19-Dx1	U1
MultiLin-GMP-1__P16__Relapse	U1
preNeu__10DD-1086__Treatment	U1
Intermediate Mono-2__10DD-1086__Diagnosis	U1
Intermediate Mono-1__10DD-1086__Diagnosis	U1
Non-Classical Mono-2__AML-19-CR1	U1
cDC2-2__AML-19-CR1	U1
Classical-Mono__10DD-1086__Diagnosis	U1
CD8 TEM__10DD-1086__Diagnosis	U1
CD4 TCM__10DD-1086__Diagnosis	U1
B Memory-2__10DD-1086__Diagnosis	U1
B Memory-1__10DD-1086__Diagnosis	U1
T CD8 Naive__10DD-1085__Relapse	U1
T CD4 Naive-1__10DD-1085__Relapse	U1
CD4 TCM__P17__Diagnosis	U1
NK-Mature__10DD-1085__Relapse	U1
Multilin-2__10DD-1085__Relapse	U1
NK-Mature__AML-19-CR2	U1
Non-Classical Mono-2__AML-19-CR2	U1
T CD4 Naive-2__AML-19-CR2	U1
MDP-2__10DD-1085__Relapse	U1
MDP-1__10DD-1085__Relapse	U1
MAIT__10DD-1085__Relapse	U1
LMPP-2__10DD-1085__Relapse	U1
CD8 TEM__P17__Diagnosis	U1
Intermediate Mono-1__10DD-1085__Relapse	U1
LMPP-1__P17__Diagnosis	U1
CD8 TEM__10DD-1085__Relapse	U1
NK-Mature__AML-19-CR1	U1
NK-Mature__P16__Relapse	U1
LMPP-1-cycling__10DD-1086__Diagnosis	U1
MEP-Eryth-2__10DD-1086__Diagnosis	U1
T CD4 Naive-1__P16__Relapse	U1
T CD4 Naive-1__10DD-1086__Treatment	U1
Non-Classical Mono-2__10DD-1086__Treatment	U1
NK-Mature__10DD-1086__Treatment	U1
Myeloid intermediate 3__10DD-1086__Treatment	U1
MultiLin-GMP-1__10DD-1086__Treatment	U1
Mono-1__10DD-1086__Treatment	U1
MEP-Eryth-2__10DD-1086__Treatment	U1
T CD8 Naive__P16__Relapse	U1
MEP-1__10DD-1086__Treatment	U1
MAIT__10DD-1086__Treatment	U1
LMPP-1-cycling__10DD-1086__Treatment	U1
LMPP-1__10DD-1086__Treatment	U1
Intermediate Mono-3__10DD-1086__Treatment	U1
Intermediate Mono-2__10DD-1086__Treatment	U1
MDP-3__PT02__D30	U1
MDP-5__PT02__D30	U1
Classical-Mono__10DD-1086__Treatment	U1
CD8 TEM__10DD-1086__Treatment	U1
CD4 TCM__10DD-1086__Treatment	U1
B Memory-2__10DD-1086__Treatment	U1
B Memory-1__10DD-1086__Treatment	U1
T CD8 Naive__10DD-1086__Diagnosis	U1
Non-Classical Mono-2__10DD-1086__Diagnosis	U1
