SampleID	0	ASDC	B Memory-1	B Memory-2	BMCP-1	BMCP-2	CD4 TCM	CD8 TEM	CLP	Classical-Mono	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	HSC-1	HSC-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	LMPP-1	LMPP-1-cycling	LMPP-2	MAIT	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	MK-Platelet	MKP-early	MKP-late	MPP-1	MPP-2	MPP-MEP	MSC Fibroblast-1	MSC Fibroblast-2	Mac	Mono-1	Mono-2	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	Multilin-1	Multilin-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	NK-Mature	Non-Classical Mono-1	Non-Classical Mono-2	Osteoblast	Plasma Cell	Pro-B-1	Pro-B-2	Pro-B-3	Pro-B-Early	Pro-B-Early-cycling	Pro-B-cycling-1	Pro-B-cycling-2	Stromal Vascular	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	Transitional-B-1	Transitional-B-2	cDC1	cDC2-1	cDC2-2	cMOP	immNeu-1	immNeu-2	pDC	pre-B	pre-DC-1	pre-DC-2	pre-DC-3	preNeu
NYU-1:AML3133	0	0	418	2	3	0	1105	268	0	23	0	0	0	1	4	6	1	18	25	3	99	7	12	460	92	194	16	28	51	118	7	4	0	0	0	0	11	26	3	2	1	1	0	11	0	129	0	0	0	12	32	128	39	11	16	1	3	4	15	255	0	501	0	15	0	0	0	0	0	0	0	0	392	69	0	4	0	1	19	2	5	4	5	0	1	0	0	12	0	35
NYU-1:AML3730	0	3	149	0	0	0	10	29	8	109	0	0	0	0	0	0	0	0	0	0	8	0	0	322	999	1575	0	10	178	5	42	282	13	0	0	4	2	1	3	1	1	0	1	0	0	14	10	0	1	19	300	158	1	1	195	10	0	52	5	54	0	456	0	8	0	1	2	0	4	4	5	1	49	17	0	1	0	0	162	33	57	7	0	0	7	1	17	306	12	0
NYU-1:AML3762	0	0	50	2	4	0	387	524	5	13	14	17	2	22	50	16	11	86	202	32	2643	6	5	50	8	154	21	1466	1916	73	65	3	0	0	0	0	220	571	16	53	1	8	2	1667	71	4068	0	0	0	15	18	2086	5	18	586	2	8	13	14	134	2	8	0	11	0	0	0	0	1	0	0	0	55	89	0	2	0	0	8	10	15	11	0	0	0	0	0	5	0	1
NYU-1:AML3948	0	0	176	37	29	0	47	171	0	108	1	0	1	1	0	0	0	1	1	2	23	8	18	759	89	214	42	29	2	56	12	61	0	0	0	1	21	9	4	18	2	2	1	27	4	509	0	0	0	413	140	5676	829	119	145	3	483	638	1556	83	4	84	0	35	0	0	0	0	0	1	0	0	10	8	0	1	0	0	23	14	31	210	18	61	43	0	3	57	1	323
NYU-1:AML4340	0	2	236	6	0	0	975	765	0	18	1	0	0	1	0	1	1	1	2	0	11	0	2	83	114	136	17	62	75	461	4	3	1	0	0	2	1	13	0	0	0	0	0	77	12	60	0	0	0	9	39	112	38	2	4	0	15	18	21	951	3	24	0	13	0	0	0	0	0	1	0	0	260	19	0	2	0	0	7	11	31	3	0	1	57	0	2	4	1	11
NYU-1:AML4897	0	0	645	2	0	0	217	998	1	0	1	0	0	2	0	0	0	4	2	0	35	1	0	124	1	12	0	0	0	109	0	0	0	0	0	0	5	35	0	1	3	13	2	0	0	75	0	0	0	0	2	115	0	0	2	0	0	0	1	539	0	181	0	7	0	0	0	0	0	0	0	0	215	61	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
NYU-1:AML52-Azacitidine	0	1	55	25	0	0	2	4	0	31	8	6	29	7	0	5	1	4	24	18	57	0	0	9	8	59	10	2	0	4	1	4	0	1	0	0	9	1630	8	47	1	7795	1493	0	0	87	0	0	1	1	6	11	9	0	3	0	1	0	0	60	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	1	0	0	1	0	0	2	13
NYU-1:AML5292	0	0	8	2	824	0	55	13	0	46	0	0	0	0	1	1	0	1	4	0	0	1	0	91	247	134	104	80	2	14	5	42	0	0	0	0	67	498	0	6	0	0	1	0	0	699	0	0	0	10	54	195	1313	171	67	8	12	110	14	11	0	78	0	1	0	0	0	0	0	0	0	0	2	7	0	1	0	0	31	82	155	4	3	0	0	0	1	2	13	111
NYU-1:Control0004	0	4	461	3	0	0	641	708	2	77	7	4	0	1	7	1	7	11	0	0	3	0	2	788	130	237	0	3	5	396	6	1	3	1	0	2	2	11	6	4	0	1	0	9	0	19	0	0	0	9	69	35	1	1	3	0	1	1	3	1471	0	166	0	8	0	0	0	0	0	3	1	0	312	59	0	11	0	0	2	21	116	4	0	0	38	2	1	2	5	6
NYU-1:Control0005	0	20	1033	289	3	0	341	964	27	1578	40	24	3	23	33	7	27	36	16	0	1	1	2	2118	493	1207	6	78	335	202	36	24	20	18	3	31	20	56	21	36	1	9	0	52	0	88	0	0	1	47	536	31	42	13	67	26	11	21	15	648	0	227	6	27	4	0	2	4	6	6	2	0	2	354	0	191	7	0	30	215	48	36	5	1	151	71	29	33	34	79
NYU-1:Control0058	0	8	1969	23	2	0	385	181	6	42	1	1	0	1	8	2	4	9	7	2	79	1	0	645	197	220	3	3	5	395	7	2	4	1	0	2	0	0	0	8	0	0	0	4	0	7	0	0	0	14	27	65	3	1	6	1	0	6	11	347	1	105	0	6	7	0	8	4	2	10	8	0	473	299	0	124	10	2	7	28	125	3	1	0	8	29	4	3	1	2
NYU-1:Control0082	0	14	2356	143	0	0	135	144	1	1139	13	12	7	7	13	7	24	10	9	13	89	0	0	1985	448	1202	37	44	3	185	5	2	5	3	0	6	7	161	9	16	0	316	38	3	2	154	0	0	0	34	256	55	28	4	14	4	2	8	7	504	1	75	2	6	6	0	8	4	9	15	18	1	0	13	0	12	31	0	7	114	157	23	5	0	43	290	11	2	18	38
NYU-1:Control1	0	5	1347	26	6	1	425	264	12	278	42	8	0	8	15	24	39	44	2	1	23	4	9	1178	214	230	12	11	13	195	5	3	3	2	0	4	4	39	8	5	0	6	0	24	2	22	0	0	0	28	148	14	8	2	6	5	6	4	7	99	0	127	0	105	11	0	35	2	0	17	5	0	816	647	0	212	18	2	3	16	136	13	13	0	82	247	7	4	7	12
NYU-1:Control2	0	2	752	4	2	0	204	170	9	209	12	7	0	4	17	19	26	38	4	2	23	0	4	1336	403	183	10	7	4	69	7	1	2	0	2	3	3	21	3	7	3	5	2	18	2	29	0	1	0	13	93	9	2	2	6	1	1	3	1	309	0	495	0	25	7	0	15	1	0	21	9	0	72	138	0	18	13	1	5	21	288	13	3	0	79	155	5	3	13	5
NYU-1:Control3	0	3	1081	168	2	0	822	1116	2	230	14	5	0	9	17	5	16	35	2	1	33	3	14	930	251	70	2	3	5	529	8	1	4	2	0	2	9	16	9	4	0	6	1	21	1	14	0	0	0	10	91	1	6	1	5	3	1	5	2	1049	2	381	2	33	5	0	2	1	0	1	1	0	76	551	1	130	7	0	3	34	139	7	3	0	15	36	10	4	11	9
NYU-1:Control4	0	5	1766	672	7	0	153	380	6	997	25	9	0	13	14	29	45	149	97	9	37	2	1	829	521	161	9	13	10	150	12	4	11	2	0	4	4	19	9	2	4	7	2	46	0	48	0	0	1	21	178	9	4	3	7	10	8	7	12	504	0	208	5	78	22	3	19	4	0	24	46	0	7	727	3	566	18	0	13	54	31	13	0	0	93	649	10	3	6	4
NYU-1:Control4003	0	11	446	140	5	1	897	575	7	396	6	8	3	1	3	2	7	22	16	0	0	2	2	2399	1408	342	8	42	6	325	4	38	3	1	1	2	6	20	0	2	15	5	0	27	1	98	0	0	0	20	125	52	218	24	12	7	3	91	16	1753	0	1424	4	29	2	0	1	1	1	3	3	0	2	255	31	46	4	0	12	131	129	13	6	0	90	15	2	6	32	23
NYU-1:ETP9153	0	0	849	76	2	0	29	48	12	35	0	0	0	0	1	1	2	13	1	0	13	0	0	10	53	100	0	13	469	27	936	2	1	0	0	0	14	33	8	13	0	1	0	0	0	708	0	0	0	0	4	38	0	0	15	4	1	0	0	162	3	65	0	2	0	0	4	0	0	0	2	0	10	26	0	8	0	0	1	5	2	0	0	0	2	6	0	1	0	1
NYU-1:HTO2-SRR16208954	0	4	262	370	0	0	275	275	1	105	4	1	0	2	2	2	2	2	1	0	1	0	0	493	168	86	9	10	3	76	1	1	0	0	0	0	2	6	2	0	0	1	0	0	0	53	0	0	0	2	22	7	7	0	1	4	1	5	12	668	0	75	1	6	0	0	0	0	0	1	0	0	1	80	0	12	0	0	8	34	31	3	0	0	3	0	3	7	4	2
NYU-1:HTO2-SRR16208955	0	6	293	423	1	0	348	292	0	122	1	2	1	1	3	5	7	2	2	1	2	0	0	531	191	131	11	20	9	68	1	2	1	0	0	1	0	4	3	1	0	1	0	1	0	43	0	0	0	10	25	20	7	4	1	0	2	9	11	729	0	88	1	9	0	0	0	0	0	1	0	0	3	91	0	13	0	0	2	42	32	2	0	0	4	0	7	9	7	3
