modality	mutation	model	npos	auc
Lipid	mut_inv(16)_CBFB-MYH11	logL1	4	0.9772727272727273
Lipid	mut_inv(16)_CBFB-MYH11	elastic	4	0.9545454545454546
Lipid	mut_inv(16)_CBFB-MYH11	linSVM	4	0.9772727272727273
Lipid	mut_inv(16)_CBFB-MYH11	shrLDA	4	0.9545454545454545
Lipid	mut_inv(16)_CBFB-MYH11	PLS	4	0.9772727272727273
Lipid	mut_inv(16)_CBFB-MYH11	RF	4	0.8522727272727273
Lipid	mut_inv(16)_CBFB-MYH11	HistGB	4	0.9090909090909091
Lipid	mut_inv(16)_CBFB-MYH11	NaiveB	4	0.8409090909090908
Lipid	mut_inv(16)_CBFB-MYH11	kNN	4	0.8693181818181818
Lipid	mut_inv(16)_CBFB-MYH11	MLP	4	0.8409090909090908
