mutation	model	modality	cv_mean	cv_std	weight
mut_NRAS	shrLDA	LSC	0.537	0.094	0.029
mut_NRAS	shrLDA	Lipid	0.677	0.094	0.135
mut_NRAS	shrLDA	Metabolite	0.722	0.058	0.225
mut_NRAS	shrLDA	RNA	0.737	0.112	0.161
mut_NRAS	PLS	ADT	0.735	0.138	0.1
mut_NRAS	PLS	Cell-comm	0.792	0.04	0.259
mut_NRAS	PLS	Composition	0.572	0.103	0.038
mut_NRAS	PLS	GRN	0.785	0.134	0.123
mut_NRAS	PLS	LSC	0.545	0.117	0.022
mut_NRAS	PLS	Lipid	0.737	0.12	0.111
mut_NRAS	PLS	Metabolite	0.782	0.083	0.169
mut_NRAS	PLS	RNA	0.774	0.073	0.178
mut_NRAS	RF	ADT	0.721	0.062	0.088
mut_NRAS	RF	Cell-comm	0.841	0.003	0.286
mut_NRAS	RF	Composition	0.785	0.066	0.109
mut_NRAS	RF	GRN	0.81	0.14	0.072
mut_NRAS	RF	LSC	0.74	0.025	0.143
mut_NRAS	RF	Lipid	0.806	0.138	0.072
mut_NRAS	RF	Metabolite	0.799	0.11	0.083
mut_NRAS	RF	RNA	0.774	0.033	0.147
mut_NRAS	HistGB	ADT	0.748	0.147	0.076
mut_NRAS	HistGB	Cell-comm	0.808	0.048	0.188
mut_NRAS	HistGB	Composition	0.751	0.049	0.152
mut_NRAS	HistGB	GRN	0.804	0.143	0.095
mut_NRAS	HistGB	LSC	0.623	0.093	0.052
mut_NRAS	HistGB	Lipid	0.781	0.099	0.113
mut_NRAS	HistGB	Metabolite	0.829	0.068	0.167
mut_NRAS	HistGB	RNA	0.779	0.056	0.158
mut_NRAS	NaiveB	ADT	0.689	0.065	0.131
mut_NRAS	NaiveB	Cell-comm	0.774	0.01	0.363
mut_NRAS	NaiveB	Composition	0.597	0.163	0.036
mut_NRAS	NaiveB	GRN	0.68	0.073	0.116
mut_NRAS	NaiveB	LSC	0.452	0.094	0.0
mut_NRAS	NaiveB	Lipid	0.759	0.113	0.126
mut_NRAS	NaiveB	Metabolite	0.701	0.121	0.094
mut_NRAS	NaiveB	RNA	0.676	0.055	0.134
mut_NRAS	kNN	ADT	0.74	0.052	0.245
mut_NRAS	kNN	Cell-comm	0.5	0.0	0.0
mut_NRAS	kNN	Composition	0.676	0.141	0.096
mut_NRAS	kNN	GRN	0.689	0.118	0.117
mut_NRAS	kNN	LSC	0.559	0.101	0.04
mut_NRAS	kNN	Lipid	0.751	0.098	0.177
mut_NRAS	kNN	Metabolite	0.753	0.12	0.155
mut_NRAS	kNN	RNA	0.703	0.074	0.17
mut_NRAS	MLP	ADT	0.568	0.066	0.065
mut_NRAS	MLP	Cell-comm	0.777	0.08	0.235
mut_NRAS	MLP	Composition	0.614	0.102	0.083
mut_NRAS	MLP	GRN	0.735	0.116	0.156
mut_NRAS	MLP	LSC	0.456	0.073	0.0
mut_NRAS	MLP	Lipid	0.736	0.045	0.274
mut_NRAS	MLP	Metabolite	0.669	0.101	0.123
mut_NRAS	MLP	RNA	0.598	0.119	0.064
mut_PHIP	logL2	ADT	0.923	0.042	0.151
mut_PHIP	logL2	Cell-comm	0.938	0.031	0.178
mut_PHIP	logL2	Composition	0.778	0.066	0.079
mut_PHIP	logL2	GRN	0.937	0.028	0.184
mut_PHIP	logL2	LSC	0.417	0.162	0.0
mut_PHIP	logL2	Lipid	0.923	0.037	0.16
mut_PHIP	logL2	Metabolite	0.929	0.033	0.171
mut_PHIP	logL2	RNA	0.895	0.116	0.078
mut_PHIP	logL1	ADT	0.908	0.036	0.199
mut_PHIP	logL1	Cell-comm	0.657	0.225	0.024
mut_PHIP	logL1	Composition	0.812	0.071	0.109
mut_PHIP	logL1	GRN	0.915	0.071	0.143
mut_PHIP	logL1	LSC	0.417	0.166	0.0
mut_PHIP	logL1	Lipid	0.902	0.039	0.19
mut_PHIP	logL1	Metabolite	0.945	0.027	0.243
mut_PHIP	logL1	RNA	0.837	0.102	0.093
mut_PHIP	elastic	ADT	0.924	0.034	0.157
mut_PHIP	elastic	Cell-comm	0.917	0.024	0.176
mut_PHIP	elastic	Composition	0.8	0.078	0.074
mut_PHIP	elastic	GRN	0.958	0.022	0.2
mut_PHIP	elastic	LSC	0.465	0.182	0.0
mut_PHIP	elastic	Lipid	0.916	0.032	0.16
mut_PHIP	elastic	Metabolite	0.931	0.019	0.195
mut_PHIP	elastic	RNA	0.803	0.205	0.037
mut_PHIP	linSVM	ADT	0.907	0.008	0.322
mut_PHIP	linSVM	Cell-comm	0.7	0.186	0.039
mut_PHIP	linSVM	Composition	0.713	0.084	0.073
mut_PHIP	linSVM	GRN	0.569	0.209	0.012
mut_PHIP	linSVM	LSC	0.429	0.164	0.0
mut_PHIP	linSVM	Lipid	0.892	0.017	0.268
mut_PHIP	linSVM	Metabolite	0.925	0.042	0.214
mut_PHIP	linSVM	RNA	0.823	0.154	0.073
mut_PHIP	shrLDA	ADT	0.89	0.027	0.349
mut_PHIP	shrLDA	Cell-comm	0.5	0.0	0.0
mut_PHIP	shrLDA	Composition	0.731	0.073	0.129
mut_PHIP	shrLDA	GRN	0.603	0.151	0.035
mut_PHIP	shrLDA	LSC	0.414	0.172	0.0
mut_PHIP	shrLDA	Lipid	0.869	0.04	0.283
mut_PHIP	shrLDA	Metabolite	0.879	0.092	0.184
mut_PHIP	shrLDA	RNA	0.612	0.336	0.02
mut_PHIP	PLS	ADT	0.758	0.084	0.084
mut_PHIP	PLS	Cell-comm	0.927	0.028	0.241
mut_PHIP	PLS	Composition	0.578	0.141	0.018
mut_PHIP	PLS	GRN	0.913	0.039	0.204
mut_PHIP	PLS	LSC	0.459	0.194	0.0
mut_PHIP	PLS	Lipid	0.888	0.052	0.167
mut_PHIP	PLS	Metabolite	0.949	0.022	0.274
mut_PHIP	PLS	RNA	0.617	0.414	0.011
mut_PHIP	RF	ADT	0.739	0.173	0.041
mut_PHIP	RF	Cell-comm	0.847	0.109	0.083
mut_PHIP	RF	Composition	0.751	0.059	0.087
mut_PHIP	RF	GRN	0.954	0.018	0.252
mut_PHIP	RF	LSC	0.394	0.09	0.0
mut_PHIP	RF	Lipid	0.919	0.032	0.193
mut_PHIP	RF	Metabolite	0.936	0.019	0.241
mut_PHIP	RF	RNA	0.857	0.08	0.104
mut_PHIP	HistGB	ADT	0.665	0.334	0.025
mut_PHIP	HistGB	Cell-comm	0.96	0.044	0.289
mut_PHIP	HistGB	Composition	0.769	0.133	0.087
mut_PHIP	HistGB	GRN	0.873	0.079	0.171
mut_PHIP	HistGB	LSC	0.329	0.182	0.0
mut_PHIP	HistGB	Lipid	0.88	0.068	0.191
mut_PHIP	HistGB	Metabolite	0.778	0.101	0.109
mut_PHIP	HistGB	RNA	0.864	0.12	0.127
mut_PHIP	NaiveB	ADT	0.849	0.066	0.26
mut_PHIP	NaiveB	Cell-comm	0.696	0.144	0.087
mut_PHIP	NaiveB	Composition	0.529	0.086	0.018
mut_PHIP	NaiveB	GRN	0.653	0.222	0.048
mut_PHIP	NaiveB	LSC	0.442	0.161	0.0
mut_PHIP	NaiveB	Lipid	0.845	0.144	0.153
mut_PHIP	NaiveB	Metabolite	0.841	0.146	0.15
mut_PHIP	NaiveB	RNA	0.862	0.06	0.284
mut_PHIP	kNN	ADT	0.811	0.161	0.108
mut_PHIP	kNN	Cell-comm	0.5	0.0	0.0
mut_PHIP	kNN	Composition	0.657	0.208	0.045
mut_PHIP	kNN	GRN	0.898	0.09	0.208
mut_PHIP	kNN	LSC	0.36	0.012	0.0
mut_PHIP	kNN	Lipid	0.888	0.079	0.219
mut_PHIP	kNN	Metabolite	0.865	0.083	0.201
mut_PHIP	kNN	RNA	0.892	0.081	0.219
mut_PHIP	MLP	ADT	0.471	0.078	0.0
mut_PHIP	MLP	Cell-comm	0.717	0.22	0.107
mut_PHIP	MLP	Composition	0.612	0.228	0.054
mut_PHIP	MLP	GRN	0.574	0.372	0.023
mut_PHIP	MLP	LSC	0.59	0.255	0.039
mut_PHIP	MLP	Lipid	0.831	0.045	0.468
mut_PHIP	MLP	Metabolite	0.727	0.206	0.119
mut_PHIP	MLP	RNA	0.703	0.094	0.188
mut_RUNX1	logL2	ADT	0.552	0.106	0.031
mut_RUNX1	logL2	Cell-comm	0.741	0.083	0.164
mut_RUNX1	logL2	Composition	0.634	0.096	0.084
mut_RUNX1	logL2	GRN	0.824	0.114	0.18
mut_RUNX1	logL2	LSC	0.587	0.096	0.054
mut_RUNX1	logL2	Lipid	0.709	0.074	0.154
mut_RUNX1	logL2	Metabolite	0.866	0.083	0.25
mut_RUNX1	logL2	RNA	0.688	0.155	0.084
mut_RUNX1	logL1	ADT	0.433	0.112	0.0
mut_RUNX1	logL1	Cell-comm	0.521	0.063	0.026
mut_RUNX1	logL1	Composition	0.686	0.128	0.152
mut_RUNX1	logL1	GRN	0.696	0.106	0.182
mut_RUNX1	logL1	LSC	0.574	0.093	0.075
mut_RUNX1	logL1	Lipid	0.695	0.13	0.157
mut_RUNX1	logL1	Metabolite	0.828	0.067	0.408
mut_RUNX1	logL1	RNA	0.479	0.149	0.0
mut_RUNX1	elastic	ADT	0.482	0.088	0.0
mut_RUNX1	elastic	Cell-comm	0.719	0.074	0.172
mut_RUNX1	elastic	Composition	0.651	0.065	0.127
mut_RUNX1	elastic	GRN	0.735	0.054	0.218
mut_RUNX1	elastic	LSC	0.552	0.084	0.038
mut_RUNX1	elastic	Lipid	0.717	0.079	0.163
mut_RUNX1	elastic	Metabolite	0.843	0.079	0.258
mut_RUNX1	elastic	RNA	0.55	0.15	0.024
mut_RUNX1	linSVM	ADT	0.672	0.114	0.099
mut_RUNX1	linSVM	Cell-comm	0.622	0.061	0.103
mut_RUNX1	linSVM	Composition	0.597	0.166	0.042
mut_RUNX1	linSVM	GRN	0.582	0.06	0.071
mut_RUNX1	linSVM	LSC	0.585	0.09	0.057
mut_RUNX1	linSVM	Lipid	0.743	0.028	0.292
mut_RUNX1	linSVM	Metabolite	0.774	0.063	0.228
mut_RUNX1	linSVM	RNA	0.697	0.121	0.108
mut_RUNX1	shrLDA	ADT	0.715	0.146	0.157
mut_RUNX1	shrLDA	Cell-comm	0.5	0.0	0.0
mut_RUNX1	shrLDA	Composition	0.648	0.081	0.161
mut_RUNX1	shrLDA	GRN	0.632	0.088	0.136
mut_RUNX1	shrLDA	LSC	0.588	0.083	0.095
mut_RUNX1	shrLDA	Lipid	0.722	0.1	0.212
mut_RUNX1	shrLDA	Metabolite	0.665	0.074	0.189
mut_RUNX1	shrLDA	RNA	0.543	0.072	0.05
mut_RUNX1	PLS	ADT	0.731	0.133	0.099
mut_RUNX1	PLS	Cell-comm	0.753	0.093	0.139
mut_RUNX1	PLS	Composition	0.544	0.094	0.024
mut_RUNX1	PLS	GRN	0.718	0.031	0.211
mut_RUNX1	PLS	LSC	0.458	0.157	0.0
mut_RUNX1	PLS	Lipid	0.764	0.017	0.311
mut_RUNX1	PLS	Metabolite	0.726	0.095	0.122
mut_RUNX1	PLS	RNA	0.642	0.069	0.094
mut_RUNX1	RF	ADT	0.514	0.104	0.009
mut_RUNX1	RF	Cell-comm	0.706	0.038	0.244
mut_RUNX1	RF	Composition	0.605	0.137	0.058
mut_RUNX1	RF	GRN	0.743	0.118	0.149
mut_RUNX1	RF	LSC	0.641	0.08	0.112
mut_RUNX1	RF	Lipid	0.699	0.075	0.164
mut_RUNX1	RF	Metabolite	0.734	0.081	0.185
mut_RUNX1	RF	RNA	0.591	0.072	0.077
mut_RUNX1	HistGB	ADT	0.539	0.156	0.031
mut_RUNX1	HistGB	Cell-comm	0.631	0.046	0.219
mut_RUNX1	HistGB	Composition	0.553	0.151	0.042
mut_RUNX1	HistGB	GRN	0.714	0.191	0.142
mut_RUNX1	HistGB	LSC	0.483	0.024	0.0
mut_RUNX1	HistGB	Lipid	0.702	0.138	0.172
mut_RUNX1	HistGB	Metabolite	0.744	0.049	0.394
mut_RUNX1	HistGB	RNA	0.476	0.164	0.0
mut_RUNX1	NaiveB	ADT	0.504	0.146	0.003
mut_RUNX1	NaiveB	Cell-comm	0.582	0.065	0.13
mut_RUNX1	NaiveB	Composition	0.515	0.092	0.019
mut_RUNX1	NaiveB	GRN	0.587	0.129	0.088
mut_RUNX1	NaiveB	LSC	0.555	0.113	0.062
mut_RUNX1	NaiveB	Lipid	0.665	0.011	0.49
mut_RUNX1	NaiveB	Metabolite	0.652	0.082	0.208
mut_RUNX1	NaiveB	RNA	0.495	0.027	0.0
mut_RUNX1	kNN	ADT	0.467	0.072	0.0
mut_RUNX1	kNN	Cell-comm	0.5	0.0	0.0
mut_RUNX1	kNN	Composition	0.595	0.078	0.121
mut_RUNX1	kNN	GRN	0.764	0.131	0.237
mut_RUNX1	kNN	LSC	0.65	0.082	0.184
mut_RUNX1	kNN	Lipid	0.678	0.112	0.178
mut_RUNX1	kNN	Metabolite	0.699	0.141	0.169
mut_RUNX1	kNN	RNA	0.593	0.086	0.111
mut_RUNX1	MLP	ADT	0.609	0.135	0.098
mut_RUNX1	MLP	Cell-comm	0.637	0.07	0.189
mut_RUNX1	MLP	Composition	0.699	0.075	0.265
mut_RUNX1	MLP	GRN	0.396	0.188	0.0
mut_RUNX1	MLP	LSC	0.62	0.136	0.107
mut_RUNX1	MLP	Lipid	0.639	0.05	0.23
mut_RUNX1	MLP	Metabolite	0.582	0.072	0.111
mut_RUNX1	MLP	RNA	0.481	0.092	0.0
mut_SRSF2	logL2	ADT	0.571	0.258	0.076
mut_SRSF2	logL2	Cell-comm	0.415	0.132	0.0
mut_SRSF2	logL2	Composition	0.506	0.094	0.014
mut_SRSF2	logL2	GRN	0.514	0.114	0.028
mut_SRSF2	logL2	LSC	0.651	0.015	0.768
mut_SRSF2	logL2	Lipid	0.552	0.224	0.063
mut_SRSF2	logL2	Metabolite	0.542	0.229	0.05
mut_SRSF2	logL2	RNA	0.386	0.164	0.0
mut_SRSF2	logL1	ADT	0.468	0.091	0.0
mut_SRSF2	logL1	Cell-comm	0.493	0.005	0.0
mut_SRSF2	logL1	Composition	0.428	0.146	0.0
mut_SRSF2	logL1	GRN	0.575	0.146	0.544
mut_SRSF2	logL1	LSC	0.553	0.162	0.353
mut_SRSF2	logL1	Lipid	0.362	0.18	0.0
mut_SRSF2	logL1	Metabolite	0.521	0.248	0.102
mut_SRSF2	logL1	RNA	0.322	0.172	0.0
mut_SRSF2	elastic	ADT	0.61	0.158	0.339
mut_SRSF2	elastic	Cell-comm	0.349	0.061	0.0
mut_SRSF2	elastic	Composition	0.432	0.133	0.0
mut_SRSF2	elastic	GRN	0.586	0.109	0.348
mut_SRSF2	elastic	LSC	0.565	0.084	0.313
mut_SRSF2	elastic	Lipid	0.426	0.192	0.0
mut_SRSF2	elastic	Metabolite	0.479	0.264	0.0
mut_SRSF2	elastic	RNA	0.323	0.202	0.0
mut_SRSF2	linSVM	ADT	0.565	0.221	0.062
mut_SRSF2	linSVM	Cell-comm	0.421	0.116	0.0
mut_SRSF2	linSVM	Composition	0.543	0.209	0.043
mut_SRSF2	linSVM	GRN	0.659	0.181	0.181
mut_SRSF2	linSVM	LSC	0.617	0.061	0.274
mut_SRSF2	linSVM	Lipid	0.682	0.24	0.164
mut_SRSF2	linSVM	Metabolite	0.654	0.228	0.145
mut_SRSF2	linSVM	RNA	0.58	0.111	0.131
mut_SRSF2	shrLDA	ADT	0.657	0.163	0.258
mut_SRSF2	shrLDA	Cell-comm	0.5	0.0	0.0
mut_SRSF2	shrLDA	Composition	0.453	0.102	0.0
mut_SRSF2	shrLDA	GRN	0.508	0.144	0.014
mut_SRSF2	shrLDA	LSC	0.587	0.109	0.191
mut_SRSF2	shrLDA	Lipid	0.71	0.172	0.329
mut_SRSF2	shrLDA	Metabolite	0.639	0.183	0.207
mut_SRSF2	shrLDA	RNA	0.421	0.213	0.0
mut_SRSF2	PLS	ADT	0.559	0.112	0.104
mut_SRSF2	PLS	Cell-comm	0.492	0.142	0.0
mut_SRSF2	PLS	Composition	0.443	0.166	0.0
mut_SRSF2	PLS	GRN	0.625	0.094	0.248
mut_SRSF2	PLS	LSC	0.566	0.216	0.07
mut_SRSF2	PLS	Lipid	0.685	0.21	0.203
mut_SRSF2	PLS	Metabolite	0.714	0.116	0.365
mut_SRSF2	PLS	RNA	0.506	0.133	0.009
mut_SRSF2	RF	ADT	0.555	0.234	0.817
mut_SRSF2	RF	Cell-comm	0.34	0.231	0.0
mut_SRSF2	RF	Composition	0.465	0.147	0.0
mut_SRSF2	RF	GRN	0.402	0.185	0.0
mut_SRSF2	RF	LSC	0.487	0.093	0.0
mut_SRSF2	RF	Lipid	0.5	0.256	0.003
mut_SRSF2	RF	Metabolite	0.46	0.186	0.0
mut_SRSF2	RF	RNA	0.508	0.138	0.179
mut_SRSF2	HistGB	ADT	0.587	0.033	0.385
mut_SRSF2	HistGB	Cell-comm	0.342	0.082	0.0
mut_SRSF2	HistGB	Composition	0.56	0.091	0.158
mut_SRSF2	HistGB	GRN	0.554	0.094	0.138
mut_SRSF2	HistGB	LSC	0.467	0.109	0.0
mut_SRSF2	HistGB	Lipid	0.451	0.196	0.0
mut_SRSF2	HistGB	Metabolite	0.615	0.083	0.319
mut_SRSF2	HistGB	RNA	0.371	0.138	0.0
mut_SRSF2	NaiveB	ADT	0.448	0.257	0.0
mut_SRSF2	NaiveB	Cell-comm	0.572	0.119	1.0
mut_SRSF2	NaiveB	Composition	0.463	0.011	0.0
mut_SRSF2	NaiveB	GRN	0.49	0.004	0.0
mut_SRSF2	NaiveB	LSC	0.498	0.223	0.0
mut_SRSF2	NaiveB	Lipid	0.353	0.146	0.0
mut_SRSF2	NaiveB	Metabolite	0.291	0.133	0.0
mut_SRSF2	NaiveB	RNA	0.436	0.078	0.0
mut_SRSF2	kNN	ADT	0.449	0.059	0.125
mut_SRSF2	kNN	Cell-comm	0.5	0.0	0.125
mut_SRSF2	kNN	Composition	0.419	0.106	0.125
mut_SRSF2	kNN	GRN	0.432	0.051	0.125
mut_SRSF2	kNN	LSC	0.387	0.028	0.125
mut_SRSF2	kNN	Lipid	0.459	0.068	0.125
mut_SRSF2	kNN	Metabolite	0.39	0.016	0.125
mut_SRSF2	kNN	RNA	0.493	0.116	0.125
mut_SRSF2	MLP	ADT	0.574	0.242	0.174
mut_SRSF2	MLP	Cell-comm	0.444	0.171	0.0
mut_SRSF2	MLP	Composition	0.608	0.304	0.208
mut_SRSF2	MLP	GRN	0.416	0.184	0.0
mut_SRSF2	MLP	LSC	0.659	0.169	0.497
mut_SRSF2	MLP	Lipid	0.406	0.166	0.0
mut_SRSF2	MLP	Metabolite	0.461	0.233	0.0
mut_SRSF2	MLP	RNA	0.556	0.264	0.122
mut_TET2	logL2	ADT	0.784	0.074	0.084
mut_TET2	logL2	Cell-comm	0.769	0.033	0.119
mut_TET2	logL2	Composition	0.789	0.024	0.142
mut_TET2	logL2	GRN	0.867	0.034	0.16
mut_TET2	logL2	LSC	0.376	0.074	0.0
mut_TET2	logL2	Lipid	0.832	0.027	0.156
mut_TET2	logL2	Metabolite	0.851	0.034	0.152
mut_TET2	logL2	RNA	0.857	0.019	0.187
mut_TET2	logL1	ADT	0.734	0.082	0.12
mut_TET2	logL1	Cell-comm	0.611	0.135	0.041
mut_TET2	logL1	Composition	0.7	0.071	0.112
mut_TET2	logL1	GRN	0.897	0.071	0.221
mut_TET2	logL1	LSC	0.414	0.099	0.0
mut_TET2	logL1	Lipid	0.811	0.041	0.23
mut_TET2	logL1	Metabolite	0.814	0.077	0.167
mut_TET2	logL1	RNA	0.698	0.072	0.109
mut_TET2	elastic	ADT	0.737	0.071	0.089
mut_TET2	elastic	Cell-comm	0.767	0.102	0.08
mut_TET2	elastic	Composition	0.747	0.052	0.111
mut_TET2	elastic	GRN	0.894	0.038	0.203
mut_TET2	elastic	LSC	0.373	0.072	0.0
mut_TET2	elastic	Lipid	0.849	0.042	0.174
mut_TET2	elastic	Metabolite	0.839	0.063	0.137
mut_TET2	elastic	RNA	0.761	0.008	0.206
mut_TET2	linSVM	ADT	0.825	0.051	0.14
mut_TET2	linSVM	Cell-comm	0.597	0.042	0.046
mut_TET2	linSVM	Composition	0.773	0.035	0.141
mut_TET2	linSVM	GRN	0.725	0.094	0.068
mut_TET2	linSVM	LSC	0.384	0.075	0.0
mut_TET2	linSVM	Lipid	0.889	0.01	0.285
mut_TET2	linSVM	Metabolite	0.866	0.054	0.153
mut_TET2	linSVM	RNA	0.838	0.038	0.167
mut_TET2	shrLDA	ADT	0.855	0.02	0.221
mut_TET2	shrLDA	Cell-comm	0.5	0.0	0.0
mut_TET2	shrLDA	Composition	0.791	0.049	0.129
mut_TET2	shrLDA	GRN	0.807	0.04	0.149
mut_TET2	shrLDA	LSC	0.43	0.124	0.0
mut_TET2	shrLDA	Lipid	0.902	0.03	0.219
mut_TET2	shrLDA	Metabolite	0.864	0.069	0.134
mut_TET2	shrLDA	RNA	0.815	0.043	0.148
mut_TET2	PLS	ADT	0.828	0.032	0.178
mut_TET2	PLS	Cell-comm	0.793	0.023	0.179
mut_TET2	PLS	Composition	0.768	0.111	0.074
mut_TET2	PLS	GRN	0.852	0.077	0.123
mut_TET2	PLS	LSC	0.492	0.155	0.0
mut_TET2	PLS	Lipid	0.884	0.046	0.177
mut_TET2	PLS	Metabolite	0.85	0.07	0.13
mut_TET2	PLS	RNA	0.808	0.048	0.14
mut_TET2	RF	ADT	0.699	0.098	0.11
mut_TET2	RF	Cell-comm	0.719	0.121	0.105
mut_TET2	RF	Composition	0.783	0.051	0.23
mut_TET2	RF	GRN	0.792	0.102	0.158
mut_TET2	RF	LSC	0.5	0.061	0.0
mut_TET2	RF	Lipid	0.729	0.107	0.12
mut_TET2	RF	Metabolite	0.737	0.085	0.144
mut_TET2	RF	RNA	0.69	0.067	0.134
mut_TET2	HistGB	ADT	0.707	0.063	0.137
mut_TET2	HistGB	Cell-comm	0.716	0.072	0.132
mut_TET2	HistGB	Composition	0.705	0.071	0.126
mut_TET2	HistGB	GRN	0.845	0.131	0.143
mut_TET2	HistGB	LSC	0.441	0.023	0.0
mut_TET2	HistGB	Lipid	0.757	0.059	0.176
mut_TET2	HistGB	Metabolite	0.7	0.042	0.163
mut_TET2	HistGB	RNA	0.717	0.082	0.123
mut_TET2	NaiveB	ADT	0.765	0.096	0.218
mut_TET2	NaiveB	Cell-comm	0.555	0.021	0.093
mut_TET2	NaiveB	Composition	0.712	0.119	0.151
mut_TET2	NaiveB	GRN	0.65	0.14	0.095
mut_TET2	NaiveB	LSC	0.348	0.106	0.0
mut_TET2	NaiveB	Lipid	0.698	0.097	0.162
mut_TET2	NaiveB	Metabolite	0.657	0.128	0.106
mut_TET2	NaiveB	RNA	0.655	0.055	0.176
mut_TET2	kNN	ADT	0.683	0.061	0.2
mut_TET2	kNN	Cell-comm	0.5	0.0	0.0
mut_TET2	kNN	Composition	0.644	0.1	0.117
mut_TET2	kNN	GRN	0.712	0.09	0.184
mut_TET2	kNN	LSC	0.55	0.064	0.053
mut_TET2	kNN	Lipid	0.61	0.018	0.197
mut_TET2	kNN	Metabolite	0.628	0.074	0.127
mut_TET2	kNN	RNA	0.598	0.049	0.122
mut_TET2	MLP	ADT	0.534	0.125	0.029
mut_TET2	MLP	Cell-comm	0.633	0.034	0.238
mut_TET2	MLP	Composition	0.539	0.121	0.034
mut_TET2	MLP	GRN	0.51	0.129	0.009
mut_TET2	MLP	LSC	0.619	0.059	0.163
mut_TET2	MLP	Lipid	0.654	0.1	0.154
mut_TET2	MLP	Metabolite	0.681	0.023	0.373
mut_TET2	MLP	RNA	0.468	0.056	0.0
mut_TP53	logL2	ADT	0.714	0.077	0.07
mut_TP53	logL2	Cell-comm	0.846	0.072	0.117
mut_TP53	logL2	Composition	0.439	0.125	0.0
mut_TP53	logL2	GRN	0.908	0.036	0.197
mut_TP53	logL2	LSC	0.639	0.087	0.042
mut_TP53	logL2	Lipid	0.959	0.037	0.217
mut_TP53	logL2	Metabolite	0.947	0.064	0.163
mut_TP53	logL2	RNA	0.948	0.045	0.194
mut_TP53	logL1	ADT	0.682	0.05	0.092
mut_TP53	logL1	Cell-comm	0.675	0.108	0.056
mut_TP53	logL1	Composition	0.522	0.078	0.009
mut_TP53	logL1	GRN	0.9	0.035	0.236
mut_TP53	logL1	LSC	0.644	0.082	0.055
mut_TP53	logL1	Lipid	0.882	0.05	0.193
mut_TP53	logL1	Metabolite	0.931	0.08	0.166
mut_TP53	logL1	RNA	0.918	0.058	0.194
mut_TP53	elastic	ADT	0.707	0.086	0.081
mut_TP53	elastic	Cell-comm	0.811	0.143	0.086
mut_TP53	elastic	Composition	0.472	0.146	0.0
mut_TP53	elastic	GRN	0.932	0.034	0.273
mut_TP53	elastic	LSC	0.543	0.034	0.027
mut_TP53	elastic	Lipid	0.911	0.065	0.19
mut_TP53	elastic	Metabolite	0.928	0.088	0.165
mut_TP53	elastic	RNA	0.916	0.075	0.178
mut_TP53	linSVM	ADT	0.704	0.03	0.098
mut_TP53	linSVM	Cell-comm	0.768	0.093	0.073
mut_TP53	linSVM	Composition	0.457	0.069	0.0
mut_TP53	linSVM	GRN	0.733	0.131	0.05
mut_TP53	linSVM	LSC	0.624	0.109	0.03
mut_TP53	linSVM	Lipid	0.973	0.017	0.272
mut_TP53	linSVM	Metabolite	0.964	0.029	0.227
mut_TP53	linSVM	RNA	0.976	0.023	0.251
mut_TP53	shrLDA	ADT	0.736	0.055	0.099
mut_TP53	shrLDA	Cell-comm	0.542	0.059	0.017
mut_TP53	shrLDA	Composition	0.432	0.095	0.0
mut_TP53	shrLDA	GRN	0.833	0.127	0.083
mut_TP53	shrLDA	LSC	0.613	0.087	0.036
mut_TP53	shrLDA	Lipid	0.945	0.033	0.236
mut_TP53	shrLDA	Metabolite	0.926	0.027	0.244
mut_TP53	shrLDA	RNA	0.97	0.022	0.286
mut_TP53	PLS	ADT	0.691	0.057	0.061
mut_TP53	PLS	Cell-comm	0.886	0.053	0.128
mut_TP53	PLS	Composition	0.528	0.132	0.005
mut_TP53	PLS	GRN	0.926	0.03	0.182
mut_TP53	PLS	LSC	0.544	0.08	0.012
mut_TP53	PLS	Lipid	0.968	0.024	0.218
mut_TP53	PLS	Metabolite	0.941	0.043	0.163
mut_TP53	PLS	RNA	0.979	0.021	0.231
mut_TP53	RF	ADT	0.75	0.074	0.159
mut_TP53	RF	Cell-comm	0.79	0.149	0.115
mut_TP53	RF	Composition	0.801	0.114	0.145
mut_TP53	RF	GRN	0.826	0.138	0.136
mut_TP53	RF	LSC	0.532	0.104	0.016
mut_TP53	RF	Lipid	0.862	0.119	0.168
mut_TP53	RF	Metabolite	0.844	0.135	0.146
mut_TP53	RF	RNA	0.799	0.156	0.114
mut_TP53	HistGB	ADT	0.647	0.102	0.066
mut_TP53	HistGB	Cell-comm	0.8	0.065	0.178
mut_TP53	HistGB	Composition	0.724	0.077	0.121
mut_TP53	HistGB	GRN	0.897	0.055	0.258
mut_TP53	HistGB	LSC	0.684	0.118	0.074
mut_TP53	HistGB	Lipid	0.836	0.118	0.136
mut_TP53	HistGB	Metabolite	0.749	0.152	0.084
mut_TP53	HistGB	RNA	0.762	0.168	0.082
mut_TP53	NaiveB	ADT	0.691	0.181	0.099
mut_TP53	NaiveB	Cell-comm	0.678	0.115	0.128
mut_TP53	NaiveB	Composition	0.478	0.051	0.0
mut_TP53	NaiveB	GRN	0.642	0.059	0.155
mut_TP53	NaiveB	LSC	0.52	0.115	0.014
mut_TP53	NaiveB	Lipid	0.775	0.11	0.205
mut_TP53	NaiveB	Metabolite	0.809	0.101	0.245
mut_TP53	NaiveB	RNA	0.684	0.094	0.153
mut_TP53	kNN	ADT	0.757	0.108	0.165
