mutation	model	modality	cv_mean	cv_std	weight
cyto_trisomy8	PLS	Composition	0.523	0.021	0.032
cyto_trisomy8	PLS	GRN	0.728	0.083	0.174
cyto_trisomy8	PLS	LSC	0.599	0.054	0.096
cyto_trisomy8	PLS	Lipid	0.797	0.076	0.238
cyto_trisomy8	PLS	Metabolite	0.774	0.062	0.248
cyto_trisomy8	PLS	RNA	0.519	0.113	0.012
cyto_trisomy8	RF	ADT	0.635	0.123	0.161
cyto_trisomy8	RF	Cell-comm	0.554	0.027	0.146
cyto_trisomy8	RF	Composition	0.523	0.121	0.028
cyto_trisomy8	RF	GRN	0.583	0.115	0.103
cyto_trisomy8	RF	LSC	0.58	0.138	0.088
cyto_trisomy8	RF	Lipid	0.597	0.107	0.127
cyto_trisomy8	RF	Metabolite	0.586	0.102	0.116
cyto_trisomy8	RF	RNA	0.652	0.086	0.231
cyto_trisomy8	HistGB	ADT	0.612	0.04	0.225
cyto_trisomy8	HistGB	Cell-comm	0.478	0.046	0.0
cyto_trisomy8	HistGB	Composition	0.543	0.158	0.037
cyto_trisomy8	HistGB	GRN	0.51	0.109	0.012
cyto_trisomy8	HistGB	LSC	0.629	0.103	0.153
cyto_trisomy8	HistGB	Lipid	0.642	0.136	0.139
cyto_trisomy8	HistGB	Metabolite	0.697	0.14	0.189
cyto_trisomy8	HistGB	RNA	0.694	0.094	0.245
cyto_trisomy8	NaiveB	ADT	0.568	0.165	0.07
cyto_trisomy8	NaiveB	Cell-comm	0.534	0.073	0.06
cyto_trisomy8	NaiveB	Composition	0.584	0.118	0.11
cyto_trisomy8	NaiveB	GRN	0.446	0.069	0.0
cyto_trisomy8	NaiveB	LSC	0.671	0.069	0.321
cyto_trisomy8	NaiveB	Lipid	0.55	0.096	0.076
cyto_trisomy8	NaiveB	Metabolite	0.528	0.044	0.066
cyto_trisomy8	NaiveB	RNA	0.602	0.026	0.297
cyto_trisomy8	kNN	ADT	0.43	0.071	0.0
cyto_trisomy8	kNN	Cell-comm	0.5	0.0	0.0
cyto_trisomy8	kNN	Composition	0.563	0.234	0.169
cyto_trisomy8	kNN	GRN	0.464	0.055	0.0
cyto_trisomy8	kNN	LSC	0.607	0.09	0.576
cyto_trisomy8	kNN	Lipid	0.499	0.072	0.0
cyto_trisomy8	kNN	Metabolite	0.404	0.154	0.0
cyto_trisomy8	kNN	RNA	0.538	0.063	0.255
cyto_trisomy8	MLP	ADT	0.59	0.139	0.213
cyto_trisomy8	MLP	Cell-comm	0.632	0.094	0.409
cyto_trisomy8	MLP	Composition	0.432	0.054	0.0
cyto_trisomy8	MLP	GRN	0.503	0.21	0.005
cyto_trisomy8	MLP	LSC	0.554	0.137	0.129
cyto_trisomy8	MLP	Lipid	0.511	0.104	0.031
cyto_trisomy8	MLP	Metabolite	0.578	0.113	0.213
cyto_trisomy8	MLP	RNA	0.49	0.118	0.0
mut_DNMT3A	logL2	ADT	0.612	0.046	0.115
mut_DNMT3A	logL2	Cell-comm	0.721	0.055	0.206
mut_DNMT3A	logL2	Composition	0.58	0.054	0.076
mut_DNMT3A	logL2	GRN	0.718	0.057	0.2
mut_DNMT3A	logL2	LSC	0.554	0.079	0.041
mut_DNMT3A	logL2	Lipid	0.676	0.084	0.13
mut_DNMT3A	logL2	Metabolite	0.654	0.091	0.108
mut_DNMT3A	logL2	RNA	0.662	0.078	0.124
mut_DNMT3A	logL1	ADT	0.565	0.099	0.066
mut_DNMT3A	logL1	Cell-comm	0.476	0.024	0.0
mut_DNMT3A	logL1	Composition	0.523	0.104	0.022
mut_DNMT3A	logL1	GRN	0.767	0.101	0.269
mut_DNMT3A	logL1	LSC	0.552	0.072	0.065
mut_DNMT3A	logL1	Lipid	0.676	0.069	0.226
mut_DNMT3A	logL1	Metabolite	0.582	0.079	0.096
mut_DNMT3A	logL1	RNA	0.678	0.056	0.255
mut_DNMT3A	elastic	ADT	0.595	0.073	0.095
mut_DNMT3A	elastic	Cell-comm	0.641	0.044	0.185
mut_DNMT3A	elastic	Composition	0.557	0.08	0.054
mut_DNMT3A	elastic	GRN	0.739	0.101	0.195
mut_DNMT3A	elastic	LSC	0.553	0.079	0.051
mut_DNMT3A	elastic	Lipid	0.695	0.117	0.144
mut_DNMT3A	elastic	Metabolite	0.616	0.075	0.115
mut_DNMT3A	elastic	RNA	0.659	0.072	0.161
mut_DNMT3A	linSVM	ADT	0.591	0.057	0.093
mut_DNMT3A	linSVM	Cell-comm	0.527	0.094	0.021
mut_DNMT3A	linSVM	Composition	0.557	0.024	0.085
mut_DNMT3A	linSVM	GRN	0.654	0.055	0.163
mut_DNMT3A	linSVM	LSC	0.547	0.079	0.04
mut_DNMT3A	linSVM	Lipid	0.737	0.048	0.267
mut_DNMT3A	linSVM	Metabolite	0.653	0.126	0.096
mut_DNMT3A	linSVM	RNA	0.69	0.039	0.235
mut_DNMT3A	shrLDA	ADT	0.586	0.081	0.079
mut_DNMT3A	shrLDA	Cell-comm	0.5	0.0	0.0
mut_DNMT3A	shrLDA	Composition	0.554	0.069	0.054
mut_DNMT3A	shrLDA	GRN	0.657	0.131	0.104
mut_DNMT3A	shrLDA	LSC	0.565	0.083	0.058
mut_DNMT3A	shrLDA	Lipid	0.767	0.052	0.313
mut_DNMT3A	shrLDA	Metabolite	0.719	0.132	0.145
mut_DNMT3A	shrLDA	RNA	0.732	0.063	0.247
mut_DNMT3A	PLS	ADT	0.605	0.057	0.119
mut_DNMT3A	PLS	Cell-comm	0.653	0.051	0.183
mut_DNMT3A	PLS	Composition	0.497	0.092	0.0
mut_DNMT3A	PLS	GRN	0.69	0.098	0.156
mut_DNMT3A	PLS	LSC	0.41	0.121	0.0
mut_DNMT3A	PLS	Lipid	0.637	0.073	0.134
mut_DNMT3A	PLS	Metabolite	0.633	0.178	0.071
mut_DNMT3A	PLS	RNA	0.732	0.033	0.338
mut_DNMT3A	RF	ADT	0.62	0.034	0.101
mut_DNMT3A	RF	Cell-comm	0.736	0.027	0.216
mut_DNMT3A	RF	Composition	0.682	0.043	0.137
mut_DNMT3A	RF	GRN	0.711	0.075	0.119
mut_DNMT3A	RF	LSC	0.547	0.024	0.044
mut_DNMT3A	RF	Lipid	0.672	0.061	0.109
mut_DNMT3A	RF	Metabolite	0.663	0.053	0.111
mut_DNMT3A	RF	RNA	0.706	0.039	0.163
mut_DNMT3A	HistGB	ADT	0.586	0.049	0.083
mut_DNMT3A	HistGB	Cell-comm	0.646	0.091	0.099
mut_DNMT3A	HistGB	Composition	0.725	0.09	0.153
mut_DNMT3A	HistGB	GRN	0.695	0.084	0.138
mut_DNMT3A	HistGB	LSC	0.446	0.07	0.0
mut_DNMT3A	HistGB	Lipid	0.749	0.067	0.202
mut_DNMT3A	HistGB	Metabolite	0.677	0.09	0.12
mut_DNMT3A	HistGB	RNA	0.707	0.046	0.205
mut_DNMT3A	NaiveB	ADT	0.649	0.06	0.153
mut_DNMT3A	NaiveB	Cell-comm	0.592	0.03	0.129
mut_DNMT3A	NaiveB	Composition	0.524	0.092	0.019
mut_DNMT3A	NaiveB	GRN	0.697	0.08	0.17
mut_DNMT3A	NaiveB	LSC	0.568	0.073	0.062
mut_DNMT3A	NaiveB	Lipid	0.619	0.032	0.162
mut_DNMT3A	NaiveB	Metabolite	0.593	0.033	0.125
mut_DNMT3A	NaiveB	RNA	0.671	0.056	0.181
mut_DNMT3A	kNN	ADT	0.477	0.094	0.0
mut_DNMT3A	kNN	Cell-comm	0.5	0.0	0.0
mut_DNMT3A	kNN	Composition	0.482	0.067	0.0
mut_DNMT3A	kNN	GRN	0.651	0.101	0.273
mut_DNMT3A	kNN	LSC	0.564	0.058	0.163
mut_DNMT3A	kNN	Lipid	0.604	0.056	0.269
mut_DNMT3A	kNN	Metabolite	0.586	0.081	0.18
mut_DNMT3A	kNN	RNA	0.546	0.059	0.115
mut_DNMT3A	MLP	ADT	0.553	0.074	0.112
mut_DNMT3A	MLP	Cell-comm	0.64	0.03	0.459
mut_DNMT3A	MLP	Composition	0.578	0.137	0.11
mut_DNMT3A	MLP	GRN	0.557	0.141	0.078
mut_DNMT3A	MLP	LSC	0.457	0.088	0.0
mut_DNMT3A	MLP	Lipid	0.568	0.078	0.139
mut_DNMT3A	MLP	Metabolite	0.557	0.117	0.09
mut_DNMT3A	MLP	RNA	0.509	0.133	0.013
mut_FLT3	logL2	ADT	0.837	0.03	0.156
mut_FLT3	logL2	Cell-comm	0.677	0.135	0.036
mut_FLT3	logL2	Composition	0.722	0.056	0.078
mut_FLT3	logL2	GRN	0.832	0.046	0.128
mut_FLT3	logL2	LSC	0.647	0.056	0.051
mut_FLT3	logL2	Lipid	0.815	0.017	0.176
mut_FLT3	logL2	Metabolite	0.816	0.016	0.176
mut_FLT3	logL2	RNA	0.841	0.014	0.199
mut_FLT3	logL1	ADT	0.785	0.033	0.139
mut_FLT3	logL1	Cell-comm	0.519	0.005	0.014
mut_FLT3	logL1	Composition	0.683	0.047	0.076
mut_FLT3	logL1	GRN	0.843	0.033	0.167
mut_FLT3	logL1	LSC	0.646	0.057	0.055
mut_FLT3	logL1	Lipid	0.77	0.031	0.134
mut_FLT3	logL1	Metabolite	0.814	0.008	0.216
mut_FLT3	logL1	RNA	0.789	0.009	0.197
mut_FLT3	elastic	ADT	0.825	0.022	0.171
mut_FLT3	elastic	Cell-comm	0.674	0.094	0.046
mut_FLT3	elastic	Composition	0.693	0.054	0.071
mut_FLT3	elastic	GRN	0.871	0.035	0.166
mut_FLT3	elastic	LSC	0.62	0.05	0.046
mut_FLT3	elastic	Lipid	0.802	0.034	0.137
mut_FLT3	elastic	Metabolite	0.803	0.019	0.168
mut_FLT3	elastic	RNA	0.801	0.009	0.195
mut_FLT3	linSVM	ADT	0.858	0.045	0.169
mut_FLT3	linSVM	Cell-comm	0.588	0.162	0.019
mut_FLT3	linSVM	Composition	0.705	0.095	0.063
mut_FLT3	linSVM	GRN	0.754	0.049	0.115
mut_FLT3	linSVM	LSC	0.643	0.063	0.057
mut_FLT3	linSVM	Lipid	0.789	0.021	0.183
mut_FLT3	linSVM	Metabolite	0.775	0.016	0.186
mut_FLT3	linSVM	RNA	0.814	0.018	0.208
mut_FLT3	shrLDA	ADT	0.868	0.054	0.176
mut_FLT3	shrLDA	Cell-comm	0.511	0.016	0.008
mut_FLT3	shrLDA	Composition	0.697	0.051	0.097
mut_FLT3	shrLDA	GRN	0.792	0.046	0.151
mut_FLT3	shrLDA	LSC	0.64	0.072	0.057
mut_FLT3	shrLDA	Lipid	0.783	0.056	0.133
mut_FLT3	shrLDA	Metabolite	0.737	0.009	0.201
mut_FLT3	shrLDA	RNA	0.756	0.023	0.176
mut_FLT3	PLS	ADT	0.844	0.033	0.219
mut_FLT3	PLS	Cell-comm	0.658	0.078	0.065
mut_FLT3	PLS	Composition	0.613	0.052	0.059
mut_FLT3	PLS	GRN	0.826	0.055	0.164
mut_FLT3	PLS	LSC	0.506	0.135	0.002
mut_FLT3	PLS	Lipid	0.764	0.091	0.099
mut_FLT3	PLS	Metabolite	0.8	0.046	0.164
mut_FLT3	PLS	RNA	0.756	0.009	0.229
mut_FLT3	RF	ADT	0.758	0.086	0.086
mut_FLT3	RF	Cell-comm	0.7	0.063	0.081
mut_FLT3	RF	Composition	0.76	0.023	0.161
mut_FLT3	RF	GRN	0.821	0.057	0.136
mut_FLT3	RF	LSC	0.668	0.035	0.09
mut_FLT3	RF	Lipid	0.792	0.037	0.154
mut_FLT3	RF	Metabolite	0.783	0.042	0.14
mut_FLT3	RF	RNA	0.813	0.043	0.152
mut_FLT3	HistGB	ADT	0.806	0.025	0.163
mut_FLT3	HistGB	Cell-comm	0.656	0.067	0.053
mut_FLT3	HistGB	Composition	0.747	0.065	0.085
mut_FLT3	HistGB	GRN	0.801	0.029	0.151
mut_FLT3	HistGB	LSC	0.64	0.014	0.086
mut_FLT3	HistGB	Lipid	0.732	0.041	0.101
