mutation	sample	truth	opt_score
mut_IDH2	CCHMC::568_AfInv16_P24M	0	0.48
mut_IDH2	Colorado::AML-04	1	0.2
mut_IDH2	Colorado::AML-07	0	0.92
mut_IDH2	Colorado::AML-14	0	0.56
mut_IDH2	Colorado::AML-17	0	0.44
mut_IDH2	Columbia::AML1	0	0.56
mut_IDH2	Columbia::AML10	0	0.76
mut_IDH2	Columbia::AML5	0	0.28
mut_IDH2	Milan::PT08__D14	1	0.04
mut_IDH2	Milan::PT13__Diagnosis	0	0.76
mut_IDH2	NYU-1::AML0024	1	0.36
mut_IDH2	NYU-1::AML0114	0	0.04
mut_IDH2	NYU-1::AML0310	0	0.76
mut_IDH2	NYU-1::AML0612	0	0.96
mut_IDH2	NYU-1::AML2910	0	0.2
mut_IDH2	WashU::10DD-1002__Treatment	0	0.12
mut_IDH2	WashU::10DD-1003__Diagnosis	0	0.84
mut_IDH2	WashU::10DD-1010__Diagnosis	1	0.68
mut_IDH2	WashU::10DD-1062__Treatment	0	0.36
mut_IDH2	WashU::220882__Diagnosis	1	0.64
mut_IDH2	WashU::452198__Diagnosis	1	0.56
mut_IDH2	WashU::875663__Diagnosis	0	0.36
mut_NPM1	CCHMC::1009_AfInv16_29M	0	0.165
mut_NPM1	CCHMC::1102_E_N1c	1	0.525
mut_NPM1	CCHMC::287_AfInv_P53F_N1c	1	0.776
mut_NPM1	CCHMC::3410_AfST8_P64M	0	0.358
mut_NPM1	CCHMC::568_AfInv16_P24M	0	0.094
mut_NPM1	Colorado::AML-04	0	0.703
mut_NPM1	Colorado::AML-07	0	0.255
mut_NPM1	Colorado::AML-14	0	0.21
mut_NPM1	Colorado::AML-17	1	0.845
mut_NPM1	Columbia::AML1	1	0.85
mut_NPM1	Columbia::AML10	0	0.416
mut_NPM1	Columbia::AML5	1	0.911
mut_NPM1	Milan::PT08__D14	1	0.862
mut_NPM1	Milan::PT13__Diagnosis	1	0.773
mut_NPM1	NYU-1::AML0024	1	0.588
mut_NPM1	NYU-1::AML0114	1	0.483
mut_NPM1	NYU-1::AML0310	0	0.574
mut_NPM1	NYU-1::AML0612	0	0.221
mut_NPM1	NYU-1::AML2910	0	0.131
mut_NPM1	WashU::10DD-1002__Treatment	0	0.175
mut_NPM1	WashU::10DD-1003__Diagnosis	0	0.324
mut_NPM1	WashU::10DD-1010__Diagnosis	0	0.346
mut_NPM1	WashU::10DD-1062__Treatment	0	0.351
mut_NPM1	WashU::220882__Diagnosis	1	0.463
mut_NPM1	WashU::452198__Diagnosis	1	0.883
mut_NPM1	WashU::875663__Diagnosis	1	0.716
mut_NRAS	CCHMC::1009_AfInv16_29M	1	0.879
mut_NRAS	CCHMC::1102_E_N1c	0	0.543
mut_NRAS	CCHMC::287_AfInv_P53F_N1c	0	0.862
mut_NRAS	CCHMC::3410_AfST8_P64M	0	0.432
mut_NRAS	CCHMC::568_AfInv16_P24M	1	0.772
mut_NRAS	Colorado::AML-04	0	0.674
mut_NRAS	Colorado::AML-07	0	0.759
mut_NRAS	Colorado::AML-14	0	0.708
mut_NRAS	Colorado::AML-17	0	0.721
mut_NRAS	Columbia::AML1	0	0.397
mut_NRAS	Columbia::AML10	0	0.291
mut_NRAS	Columbia::AML5	0	0.451
mut_NRAS	Milan::PT08__D14	0	0.113
mut_NRAS	Milan::PT13__Diagnosis	0	0.234
mut_NRAS	NYU-1::AML0024	0	0.476
mut_NRAS	NYU-1::AML0114	0	0.322
mut_NRAS	NYU-1::AML0310	0	0.822
mut_NRAS	NYU-1::AML0612	0	0.42
mut_NRAS	NYU-1::AML2910	1	0.505
mut_NRAS	WashU::10DD-1002__Treatment	0	0.316
mut_NRAS	WashU::10DD-1003__Diagnosis	0	0.469
mut_NRAS	WashU::10DD-1010__Diagnosis	0	0.371
mut_NRAS	WashU::10DD-1062__Treatment	0	0.179
mut_NRAS	WashU::220882__Diagnosis	1	0.394
mut_NRAS	WashU::452198__Diagnosis	0	0.539
mut_NRAS	WashU::875663__Diagnosis	1	0.352
mut_PHIP	CCHMC::1009_AfInv16_29M	0	0.979
mut_PHIP	CCHMC::1102_E_N1c	0	0.544
mut_PHIP	CCHMC::287_AfInv_P53F_N1c	1	0.559
mut_PHIP	CCHMC::3410_AfST8_P64M	1	0.835
mut_PHIP	CCHMC::568_AfInv16_P24M	1	0.969
mut_PHIP	Colorado::AML-04	0	0.332
mut_PHIP	Colorado::AML-07	0	0.384
mut_PHIP	Colorado::AML-14	0	0.589
mut_PHIP	Colorado::AML-17	0	0.317
mut_PHIP	Columbia::AML1	0	0.761
mut_PHIP	Columbia::AML10	0	0.451
mut_PHIP	Columbia::AML5	0	0.644
mut_PHIP	Milan::PT08__D14	0	0.225
mut_PHIP	Milan::PT13__Diagnosis	0	0.569
mut_PHIP	NYU-1::AML0024	0	0.283
mut_PHIP	NYU-1::AML0114	0	0.582
mut_PHIP	NYU-1::AML0310	0	0.615
mut_PHIP	NYU-1::AML0612	0	0.826
mut_PHIP	NYU-1::AML2910	0	0.602
mut_PHIP	WashU::10DD-1002__Treatment	0	0.286
mut_PHIP	WashU::10DD-1003__Diagnosis	0	0.309
mut_PHIP	WashU::10DD-1010__Diagnosis	0	0.258
mut_PHIP	WashU::10DD-1062__Treatment	0	0.244
mut_PHIP	WashU::220882__Diagnosis	0	0.38
mut_PHIP	WashU::452198__Diagnosis	0	0.305
mut_PHIP	WashU::875663__Diagnosis	0	0.154
mut_RUNX1	CCHMC::1009_AfInv16_29M	0	0.575
mut_RUNX1	CCHMC::1102_E_N1c	0	0.212
mut_RUNX1	CCHMC::287_AfInv_P53F_N1c	0	0.355
mut_RUNX1	CCHMC::3410_AfST8_P64M	1	0.868
mut_RUNX1	CCHMC::568_AfInv16_P24M	0	0.344
mut_RUNX1	Colorado::AML-04	0	0.441
mut_RUNX1	Colorado::AML-07	0	0.786
mut_RUNX1	Colorado::AML-14	0	0.637
mut_RUNX1	Colorado::AML-17	0	0.351
mut_RUNX1	Columbia::AML1	0	0.293
mut_RUNX1	Columbia::AML10	0	0.217
mut_RUNX1	Columbia::AML5	0	0.313
mut_RUNX1	Milan::PT08__D14	0	0.233
mut_RUNX1	Milan::PT13__Diagnosis	0	0.617
mut_RUNX1	NYU-1::AML0024	0	0.307
mut_RUNX1	NYU-1::AML0114	0	0.566
mut_RUNX1	NYU-1::AML0310	0	0.804
mut_RUNX1	NYU-1::AML0612	1	0.877
mut_RUNX1	NYU-1::AML2910	1	0.584
mut_RUNX1	WashU::10DD-1002__Treatment	1	0.942
mut_RUNX1	WashU::10DD-1003__Diagnosis	1	0.806
mut_RUNX1	WashU::10DD-1010__Diagnosis	0	0.672
mut_RUNX1	WashU::10DD-1062__Treatment	0	0.434
mut_RUNX1	WashU::220882__Diagnosis	0	0.558
mut_RUNX1	WashU::452198__Diagnosis	0	0.148
mut_RUNX1	WashU::875663__Diagnosis	0	0.06
mut_SRSF2	CCHMC::1009_AfInv16_29M	0	0.272
mut_SRSF2	CCHMC::1102_E_N1c	0	0.672
mut_SRSF2	CCHMC::287_AfInv_P53F_N1c	0	0.374
mut_SRSF2	CCHMC::3410_AfST8_P64M	1	0.966
mut_SRSF2	CCHMC::568_AfInv16_P24M	0	0.202
mut_SRSF2	Colorado::AML-04	0	0.135
mut_SRSF2	Colorado::AML-07	1	0.92
mut_SRSF2	Colorado::AML-14	0	0.237
mut_SRSF2	Colorado::AML-17	0	0.291
mut_SRSF2	Columbia::AML1	0	0.307
mut_SRSF2	Columbia::AML10	0	0.709
mut_SRSF2	Columbia::AML5	0	0.74
mut_SRSF2	Milan::PT08__D14	0	0.469
mut_SRSF2	Milan::PT13__Diagnosis	0	0.57
mut_SRSF2	NYU-1::AML0024	0	0.952
mut_SRSF2	NYU-1::AML0114	0	0.52
mut_SRSF2	NYU-1::AML0310	0	0.261
mut_SRSF2	NYU-1::AML0612	0	0.801
mut_SRSF2	NYU-1::AML2910	1	0.316
mut_SRSF2	WashU::10DD-1002__Treatment	0	0.553
mut_SRSF2	WashU::10DD-1003__Diagnosis	1	0.721
mut_SRSF2	WashU::10DD-1010__Diagnosis	0	0.42
mut_SRSF2	WashU::10DD-1062__Treatment	0	0.597
mut_SRSF2	WashU::220882__Diagnosis	0	0.178
mut_SRSF2	WashU::452198__Diagnosis	0	0.202
mut_SRSF2	WashU::875663__Diagnosis	1	0.616
mut_TET2	CCHMC::1009_AfInv16_29M	0	0.177
mut_TET2	CCHMC::1102_E_N1c	1	0.202
mut_TET2	CCHMC::287_AfInv_P53F_N1c	0	0.505
mut_TET2	CCHMC::3410_AfST8_P64M	0	0.275
mut_TET2	CCHMC::568_AfInv16_P24M	0	0.108
mut_TET2	Colorado::AML-04	0	0.466
mut_TET2	Colorado::AML-07	1	0.468
mut_TET2	Colorado::AML-14	0	0.413
mut_TET2	Colorado::AML-17	0	0.583
mut_TET2	Columbia::AML1	1	0.899
mut_TET2	Columbia::AML10	1	0.928
mut_TET2	Columbia::AML5	1	0.863
mut_TET2	Milan::PT08__D14	0	0.418
mut_TET2	Milan::PT13__Diagnosis	0	0.399
mut_TET2	NYU-1::AML0024	0	0.76
mut_TET2	NYU-1::AML0114	0	0.354
mut_TET2	NYU-1::AML0310	1	0.906
mut_TET2	NYU-1::AML0612	0	0.354
mut_TET2	NYU-1::AML2910	1	0.431
mut_TET2	WashU::10DD-1002__Treatment	0	0.413
mut_TET2	WashU::10DD-1003__Diagnosis	1	0.553
mut_TET2	WashU::10DD-1010__Diagnosis	0	0.552
mut_TET2	WashU::10DD-1062__Treatment	0	0.341
mut_TET2	WashU::220882__Diagnosis	0	0.512
mut_TET2	WashU::452198__Diagnosis	0	0.349
mut_TET2	WashU::875663__Diagnosis	1	0.77
mut_TP53	CCHMC::1009_AfInv16_29M	0	0.554
mut_TP53	CCHMC::1102_E_N1c	0	0.493
mut_TP53	CCHMC::287_AfInv_P53F_N1c	0	0.266
mut_TP53	CCHMC::3410_AfST8_P64M	0	0.494
mut_TP53	CCHMC::568_AfInv16_P24M	0	0.5
mut_TP53	Colorado::AML-04	0	0.261
mut_TP53	Colorado::AML-07	0	0.493
mut_TP53	Colorado::AML-14	0	0.244
mut_TP53	Colorado::AML-17	0	0.427
mut_TP53	Columbia::AML1	0	0.559
mut_TP53	Columbia::AML10	1	0.956
mut_TP53	Columbia::AML5	0	0.231
mut_TP53	Milan::PT08__D14	0	0.702
mut_TP53	Milan::PT13__Diagnosis	0	0.229
mut_TP53	NYU-1::AML0024	0	0.219
mut_TP53	NYU-1::AML0114	0	0.338
mut_TP53	NYU-1::AML0310	0	0.158
mut_TP53	NYU-1::AML0612	1	0.251
mut_TP53	NYU-1::AML2910	0	0.707
mut_TP53	WashU::10DD-1002__Treatment	1	0.988
mut_TP53	WashU::10DD-1003__Diagnosis	0	0.799
mut_TP53	WashU::10DD-1010__Diagnosis	0	0.73
mut_TP53	WashU::10DD-1062__Treatment	1	0.921
mut_TP53	WashU::220882__Diagnosis	0	0.736
mut_TP53	WashU::452198__Diagnosis	0	0.367
mut_TP53	WashU::875663__Diagnosis	0	0.377
mut_inv(16)_CBFB-MYH11	CCHMC::1009_AfInv16_29M	1	0.991
mut_inv(16)_CBFB-MYH11	CCHMC::1102_E_N1c	0	0.373
mut_inv(16)_CBFB-MYH11	CCHMC::287_AfInv_P53F_N1c	1	0.717
mut_inv(16)_CBFB-MYH11	CCHMC::3410_AfST8_P64M	0	0.304
mut_inv(16)_CBFB-MYH11	CCHMC::568_AfInv16_P24M	1	0.962
mut_inv(16)_CBFB-MYH11	Colorado::AML-04	0	0.424
mut_inv(16)_CBFB-MYH11	Colorado::AML-07	0	0.521
mut_inv(16)_CBFB-MYH11	Colorado::AML-14	1	0.877
mut_inv(16)_CBFB-MYH11	Colorado::AML-17	0	0.504
mut_inv(16)_CBFB-MYH11	Columbia::AML1	0	0.77
mut_inv(16)_CBFB-MYH11	Columbia::AML10	0	0.189
mut_inv(16)_CBFB-MYH11	Columbia::AML5	0	0.435
mut_inv(16)_CBFB-MYH11	Milan::PT08__D14	0	0.519
mut_inv(16)_CBFB-MYH11	Milan::PT13__Diagnosis	0	0.375
mut_inv(16)_CBFB-MYH11	NYU-1::AML0024	0	0.161
mut_inv(16)_CBFB-MYH11	NYU-1::AML0114	0	0.318
mut_inv(16)_CBFB-MYH11	NYU-1::AML0310	0	0.802
mut_inv(16)_CBFB-MYH11	NYU-1::AML0612	0	0.403
mut_inv(16)_CBFB-MYH11	NYU-1::AML2910	0	0.49
mut_inv(16)_CBFB-MYH11	WashU::10DD-1002__Treatment	0	0.431
mut_inv(16)_CBFB-MYH11	WashU::10DD-1003__Diagnosis	0	0.44
mut_inv(16)_CBFB-MYH11	WashU::10DD-1010__Diagnosis	0	0.517
mut_inv(16)_CBFB-MYH11	WashU::10DD-1062__Treatment	0	0.468
mut_inv(16)_CBFB-MYH11	WashU::220882__Diagnosis	0	0.49
mut_inv(16)_CBFB-MYH11	WashU::452198__Diagnosis	0	0.234
mut_inv(16)_CBFB-MYH11	WashU::875663__Diagnosis	0	0.285
